POI: 			Derek_Jacobi 
Youtube ID: 	MTHJaGEJ_L8 
Video length: 	745.9 sec 
Set (V): 		dev 
 
Derek_Jacobi/MTHJaGEJ_L8_0000001 43.7 47.8 
Derek_Jacobi/MTHJaGEJ_L8_0000002 63.2 67.9 
Derek_Jacobi/MTHJaGEJ_L8_0000003 81.1 95.2 
Derek_Jacobi/MTHJaGEJ_L8_0000004 101.8 111.1 
Derek_Jacobi/MTHJaGEJ_L8_0000005 111.3 119.6 
Derek_Jacobi/MTHJaGEJ_L8_0000006 126.9 131.4 
Derek_Jacobi/MTHJaGEJ_L8_0000007 134.6 140.7 
Derek_Jacobi/MTHJaGEJ_L8_0000008 140.8 150.7 
Derek_Jacobi/MTHJaGEJ_L8_0000009 192.4 199.8 
Derek_Jacobi/MTHJaGEJ_L8_0000010 233.6 246.7 
Derek_Jacobi/MTHJaGEJ_L8_0000011 246.9 254.0 
Derek_Jacobi/MTHJaGEJ_L8_0000012 401.6 414.5 
Derek_Jacobi/MTHJaGEJ_L8_0000013 487.0 491.9 
Derek_Jacobi/MTHJaGEJ_L8_0000014 494.2 498.1 
Derek_Jacobi/MTHJaGEJ_L8_0000015 528.1 540.7 
Derek_Jacobi/MTHJaGEJ_L8_0000016 553.2 559.2 
Derek_Jacobi/MTHJaGEJ_L8_0000017 566.8 572.8 
Derek_Jacobi/MTHJaGEJ_L8_0000018 574.2 579.5 
Derek_Jacobi/MTHJaGEJ_L8_0000019 600.8 611.9 
Derek_Jacobi/MTHJaGEJ_L8_0000020 613.0 624.5 
Derek_Jacobi/MTHJaGEJ_L8_0000021 625.1 630.1 
Derek_Jacobi/MTHJaGEJ_L8_0000022 638.8 648.5 
Derek_Jacobi/MTHJaGEJ_L8_0000023 649.1 656.5 
Derek_Jacobi/MTHJaGEJ_L8_0000024 696.2 702.0 
Derek_Jacobi/MTHJaGEJ_L8_0000025 698.1 702.5 
Derek_Jacobi/MTHJaGEJ_L8_0000026 710.2 715.2 
Derek_Jacobi/MTHJaGEJ_L8_0000027 712.9 722.7 
Derek_Jacobi/MTHJaGEJ_L8_0000028 731.5 736.7 
