POI: 			Alicja_Bachleda 
Youtube ID: 	qqLxW_0DSc8 
Video length: 	489.5 sec 
Set (V): 		dev 
 
Alicja_Bachleda/qqLxW_0DSc8_0000001 09.8 15.4 
Alicja_Bachleda/qqLxW_0DSc8_0000002 15.5 20.6 
Alicja_Bachleda/qqLxW_0DSc8_0000003 27.9 36.4 
Alicja_Bachleda/qqLxW_0DSc8_0000004 42.4 46.5 
Alicja_Bachleda/qqLxW_0DSc8_0000005 53.3 64.7 
Alicja_Bachleda/qqLxW_0DSc8_0000006 79.9 86.4 
Alicja_Bachleda/qqLxW_0DSc8_0000007 96.1 103.0 
Alicja_Bachleda/qqLxW_0DSc8_0000008 130.5 138.8 
Alicja_Bachleda/qqLxW_0DSc8_0000009 142.0 155.5 
Alicja_Bachleda/qqLxW_0DSc8_0000010 163.6 169.6 
Alicja_Bachleda/qqLxW_0DSc8_0000011 178.3 182.7 
Alicja_Bachleda/qqLxW_0DSc8_0000012 187.3 194.2 
Alicja_Bachleda/qqLxW_0DSc8_0000013 210.2 216.1 
Alicja_Bachleda/qqLxW_0DSc8_0000014 220.1 228.6 
Alicja_Bachleda/qqLxW_0DSc8_0000015 240.7 248.0 
Alicja_Bachleda/qqLxW_0DSc8_0000016 250.2 255.2 
Alicja_Bachleda/qqLxW_0DSc8_0000017 263.1 267.6 
Alicja_Bachleda/qqLxW_0DSc8_0000018 270.0 277.5 
Alicja_Bachleda/qqLxW_0DSc8_0000019 289.9 296.0 
Alicja_Bachleda/qqLxW_0DSc8_0000020 312.6 319.8 
Alicja_Bachleda/qqLxW_0DSc8_0000021 326.1 330.6 
Alicja_Bachleda/qqLxW_0DSc8_0000022 345.6 350.6 
Alicja_Bachleda/qqLxW_0DSc8_0000023 352.9 357.5 
Alicja_Bachleda/qqLxW_0DSc8_0000024 360.0 364.0 
Alicja_Bachleda/qqLxW_0DSc8_0000025 369.3 378.4 
Alicja_Bachleda/qqLxW_0DSc8_0000026 382.0 389.7 
Alicja_Bachleda/qqLxW_0DSc8_0000027 393.4 398.3 
Alicja_Bachleda/qqLxW_0DSc8_0000028 401.9 406.8 
Alicja_Bachleda/qqLxW_0DSc8_0000029 420.0 429.0 
Alicja_Bachleda/qqLxW_0DSc8_0000030 439.0 448.1 
Alicja_Bachleda/qqLxW_0DSc8_0000031 450.9 457.6 
Alicja_Bachleda/qqLxW_0DSc8_0000032 463.7 470.9 
