POI: 			Alicja_Bachleda 
Youtube ID: 	CJ1wW4h9ZGM 
Video length: 	466.6 sec 
Set (V): 		dev 
 
Alicja_Bachleda/CJ1wW4h9ZGM_0000001 14.2 27.6 
Alicja_Bachleda/CJ1wW4h9ZGM_0000002 35.2 43.5 
Alicja_Bachleda/CJ1wW4h9ZGM_0000003 51.3 56.5 
Alicja_Bachleda/CJ1wW4h9ZGM_0000004 84.9 97.3 
Alicja_Bachleda/CJ1wW4h9ZGM_0000005 107.4 122.2 
Alicja_Bachleda/CJ1wW4h9ZGM_0000006 143.9 150.1 
Alicja_Bachleda/CJ1wW4h9ZGM_0000007 146.2 154.3 
Alicja_Bachleda/CJ1wW4h9ZGM_0000008 166.1 174.9 
Alicja_Bachleda/CJ1wW4h9ZGM_0000009 182.9 190.5 
Alicja_Bachleda/CJ1wW4h9ZGM_0000010 192.5 205.3 
Alicja_Bachleda/CJ1wW4h9ZGM_0000011 214.1 219.3 
Alicja_Bachleda/CJ1wW4h9ZGM_0000012 237.9 253.6 
Alicja_Bachleda/CJ1wW4h9ZGM_0000013 296.1 302.2 
Alicja_Bachleda/CJ1wW4h9ZGM_0000014 304.7 311.5 
Alicja_Bachleda/CJ1wW4h9ZGM_0000015 311.6 321.0 
Alicja_Bachleda/CJ1wW4h9ZGM_0000016 335.8 342.0 
Alicja_Bachleda/CJ1wW4h9ZGM_0000017 399.2 406.8 
