POI: 			Alicja_Bachleda 
Youtube ID: 	5yNbNqsQ6JM 
Video length: 	425.7 sec 
Set (V): 		dev 
 
Alicja_Bachleda/5yNbNqsQ6JM_0000001 113.7 119.3 
Alicja_Bachleda/5yNbNqsQ6JM_0000002 133.6 137.6 
Alicja_Bachleda/5yNbNqsQ6JM_0000003 137.8 145.4 
Alicja_Bachleda/5yNbNqsQ6JM_0000004 163.8 167.8 
Alicja_Bachleda/5yNbNqsQ6JM_0000005 170.2 175.2 
Alicja_Bachleda/5yNbNqsQ6JM_0000006 153.5 163.1 
Alicja_Bachleda/5yNbNqsQ6JM_0000007 163.4 167.8 
Alicja_Bachleda/5yNbNqsQ6JM_0000008 170.2 175.5 
Alicja_Bachleda/5yNbNqsQ6JM_0000009 176.9 182.2 
Alicja_Bachleda/5yNbNqsQ6JM_0000010 242.8 252.7 
Alicja_Bachleda/5yNbNqsQ6JM_0000011 254.1 261.0 
Alicja_Bachleda/5yNbNqsQ6JM_0000012 263.5 276.7 
Alicja_Bachleda/5yNbNqsQ6JM_0000013 277.4 283.5 
Alicja_Bachleda/5yNbNqsQ6JM_0000014 296.8 303.7 
Alicja_Bachleda/5yNbNqsQ6JM_0000015 341.5 346.3 
Alicja_Bachleda/5yNbNqsQ6JM_0000016 346.5 350.6 
