POI: 			Alicja_Bachleda 
Youtube ID: 	6XsPsxjZXwY 
Video length: 	425.2 sec 
Set (V): 		dev 
 
Alicja_Bachleda/6XsPsxjZXwY_0000001 17.9 29.0 
Alicja_Bachleda/6XsPsxjZXwY_0000002 33.1 43.6 
Alicja_Bachleda/6XsPsxjZXwY_0000003 44.2 51.9 
Alicja_Bachleda/6XsPsxjZXwY_0000004 92.6 107.6 
Alicja_Bachleda/6XsPsxjZXwY_0000005 108.5 116.2 
Alicja_Bachleda/6XsPsxjZXwY_0000006 153.2 160.2 
Alicja_Bachleda/6XsPsxjZXwY_0000007 170.4 180.9 
Alicja_Bachleda/6XsPsxjZXwY_0000008 182.1 192.6 
Alicja_Bachleda/6XsPsxjZXwY_0000009 252.1 260.4 
Alicja_Bachleda/6XsPsxjZXwY_0000010 261.5 269.1 
Alicja_Bachleda/6XsPsxjZXwY_0000011 269.9 283.6 
Alicja_Bachleda/6XsPsxjZXwY_0000012 290.7 306.3 
Alicja_Bachleda/6XsPsxjZXwY_0000013 322.4 338.1 
Alicja_Bachleda/6XsPsxjZXwY_0000014 340.2 349.6 
Alicja_Bachleda/6XsPsxjZXwY_0000015 376.6 381.0 
Alicja_Bachleda/6XsPsxjZXwY_0000016 388.8 422.0 
