POI: 			Michelle_Williams 
Youtube ID: 	_z1puGX3Isc 
Video length: 	1817.9 sec 
Set (V): 		dev 
 
Michelle_Williams/_z1puGX3Isc_0000001 61.8 65.9 
Michelle_Williams/_z1puGX3Isc_0000002 66.2 73.4 
Michelle_Williams/_z1puGX3Isc_0000003 73.7 86.6 
Michelle_Williams/_z1puGX3Isc_0000004 122.6 132.8 
Michelle_Williams/_z1puGX3Isc_0000005 133.1 139.7 
Michelle_Williams/_z1puGX3Isc_0000006 141.5 147.2 
Michelle_Williams/_z1puGX3Isc_0000007 148.3 155.8 
Michelle_Williams/_z1puGX3Isc_0000008 156.2 165.0 
Michelle_Williams/_z1puGX3Isc_0000009 304.7 313.0 
Michelle_Williams/_z1puGX3Isc_0000010 314.5 323.9 
Michelle_Williams/_z1puGX3Isc_0000011 329.5 338.1 
Michelle_Williams/_z1puGX3Isc_0000012 349.2 359.0 
Michelle_Williams/_z1puGX3Isc_0000013 369.0 373.2 
Michelle_Williams/_z1puGX3Isc_0000014 377.8 385.2 
Michelle_Williams/_z1puGX3Isc_0000015 471.6 480.3 
Michelle_Williams/_z1puGX3Isc_0000016 732.9 737.3 
Michelle_Williams/_z1puGX3Isc_0000017 767.6 776.2 
Michelle_Williams/_z1puGX3Isc_0000018 781.6 792.3 
Michelle_Williams/_z1puGX3Isc_0000019 794.7 800.5 
Michelle_Williams/_z1puGX3Isc_0000020 808.1 814.6 
Michelle_Williams/_z1puGX3Isc_0000021 818.8 826.0 
Michelle_Williams/_z1puGX3Isc_0000022 850.0 859.7 
Michelle_Williams/_z1puGX3Isc_0000023 860.6 866.4 
Michelle_Williams/_z1puGX3Isc_0000024 830.2 851.1 
Michelle_Williams/_z1puGX3Isc_0000025 868.4 874.3 
Michelle_Williams/_z1puGX3Isc_0000026 1036.4 1043.4 
Michelle_Williams/_z1puGX3Isc_0000027 1083.0 1087.1 
Michelle_Williams/_z1puGX3Isc_0000028 1093.0 1099.2 
Michelle_Williams/_z1puGX3Isc_0000029 1115.4 1121.6 
Michelle_Williams/_z1puGX3Isc_0000030 1131.4 1152.8 
Michelle_Williams/_z1puGX3Isc_0000031 1263.3 1275.0 
Michelle_Williams/_z1puGX3Isc_0000032 1284.1 1288.4 
Michelle_Williams/_z1puGX3Isc_0000033 1323.9 1329.0 
Michelle_Williams/_z1puGX3Isc_0000034 1332.9 1339.5 
Michelle_Williams/_z1puGX3Isc_0000035 1348.3 1354.6 
Michelle_Williams/_z1puGX3Isc_0000036 1372.0 1376.0 
Michelle_Williams/_z1puGX3Isc_0000037 1404.7 1410.6 
Michelle_Williams/_z1puGX3Isc_0000038 1413.3 1418.6 
Michelle_Williams/_z1puGX3Isc_0000039 1492.3 1500.4 
Michelle_Williams/_z1puGX3Isc_0000040 1508.2 1518.9 
Michelle_Williams/_z1puGX3Isc_0000041 1520.0 1524.6 
Michelle_Williams/_z1puGX3Isc_0000042 1571.4 1576.2 
Michelle_Williams/_z1puGX3Isc_0000043 1580.8 1585.6 
Michelle_Williams/_z1puGX3Isc_0000044 1612.2 1623.8 
