POI: 			Michelle_Williams 
Youtube ID: 	iEdeWdZYkdA 
Video length: 	370.4 sec 
Set (V): 		dev 
 
Michelle_Williams/iEdeWdZYkdA_0000001 12.7 23.0 
Michelle_Williams/iEdeWdZYkdA_0000002 25.1 29.6 
Michelle_Williams/iEdeWdZYkdA_0000003 29.8 35.0 
Michelle_Williams/iEdeWdZYkdA_0000004 40.2 46.8 
Michelle_Williams/iEdeWdZYkdA_0000005 70.4 76.0 
Michelle_Williams/iEdeWdZYkdA_0000006 81.9 89.6 
Michelle_Williams/iEdeWdZYkdA_0000007 91.2 95.2 
Michelle_Williams/iEdeWdZYkdA_0000008 96.5 102.3 
Michelle_Williams/iEdeWdZYkdA_0000009 102.8 114.4 
Michelle_Williams/iEdeWdZYkdA_0000010 120.1 124.5 
Michelle_Williams/iEdeWdZYkdA_0000011 125.0 130.7 
Michelle_Williams/iEdeWdZYkdA_0000012 161.8 166.8 
Michelle_Williams/iEdeWdZYkdA_0000013 173.3 177.9 
Michelle_Williams/iEdeWdZYkdA_0000014 178.6 184.3 
Michelle_Williams/iEdeWdZYkdA_0000015 211.0 217.0 
Michelle_Williams/iEdeWdZYkdA_0000016 220.5 226.0 
Michelle_Williams/iEdeWdZYkdA_0000017 244.2 249.0 
Michelle_Williams/iEdeWdZYkdA_0000018 252.8 260.0 
Michelle_Williams/iEdeWdZYkdA_0000019 263.5 268.5 
Michelle_Williams/iEdeWdZYkdA_0000020 277.8 285.6 
Michelle_Williams/iEdeWdZYkdA_0000021 286.6 290.8 
