POI: 			David_Letterman 
Youtube ID: 	0IYekI7ldSI 
Video length: 	3419.4 sec 
Set (V): 		dev 
 
David_Letterman/0IYekI7ldSI_0000001 22.2 28.2 
David_Letterman/0IYekI7ldSI_0000002 88.0 96.6 
David_Letterman/0IYekI7ldSI_0000003 111.1 115.9 
David_Letterman/0IYekI7ldSI_0000004 123.7 132.4 
David_Letterman/0IYekI7ldSI_0000005 133.2 139.6 
David_Letterman/0IYekI7ldSI_0000006 143.5 157.6 
David_Letterman/0IYekI7ldSI_0000007 168.2 179.7 
David_Letterman/0IYekI7ldSI_0000008 184.5 193.9 
David_Letterman/0IYekI7ldSI_0000009 194.4 216.4 
David_Letterman/0IYekI7ldSI_0000010 224.4 233.0 
David_Letterman/0IYekI7ldSI_0000011 259.8 267.6 
David_Letterman/0IYekI7ldSI_0000012 329.2 334.6 
David_Letterman/0IYekI7ldSI_0000013 343.8 348.9 
David_Letterman/0IYekI7ldSI_0000014 368.6 373.4 
David_Letterman/0IYekI7ldSI_0000015 448.5 453.9 
David_Letterman/0IYekI7ldSI_0000016 483.2 487.6 
David_Letterman/0IYekI7ldSI_0000017 487.6 491.9 
David_Letterman/0IYekI7ldSI_0000018 492.1 501.7 
David_Letterman/0IYekI7ldSI_0000019 525.6 536.7 
David_Letterman/0IYekI7ldSI_0000020 537.6 545.5 
David_Letterman/0IYekI7ldSI_0000021 567.6 574.4 
David_Letterman/0IYekI7ldSI_0000022 583.6 598.3 
David_Letterman/0IYekI7ldSI_0000023 583.6 596.0 
David_Letterman/0IYekI7ldSI_0000024 625.0 647.5 
David_Letterman/0IYekI7ldSI_0000025 663.8 672.2 
David_Letterman/0IYekI7ldSI_0000026 672.4 682.3 
David_Letterman/0IYekI7ldSI_0000027 693.4 725.4 
David_Letterman/0IYekI7ldSI_0000028 725.8 729.9 
David_Letterman/0IYekI7ldSI_0000029 758.0 763.1 
David_Letterman/0IYekI7ldSI_0000030 770.6 778.3 
David_Letterman/0IYekI7ldSI_0000031 789.7 799.6 
David_Letterman/0IYekI7ldSI_0000032 809.3 813.8 
