POI: 			David_Schwimmer 
Youtube ID: 	H09xAD9J8HE 
Video length: 	897.9 sec 
Set (V): 		dev 
 
David_Schwimmer/H09xAD9J8HE_0000001 32.5 38.9 
David_Schwimmer/H09xAD9J8HE_0000002 63.0 69.8 
David_Schwimmer/H09xAD9J8HE_0000003 70.1 74.0 
David_Schwimmer/H09xAD9J8HE_0000004 107.6 114.4 
David_Schwimmer/H09xAD9J8HE_0000005 181.8 186.2 
David_Schwimmer/H09xAD9J8HE_0000006 188.2 193.6 
David_Schwimmer/H09xAD9J8HE_0000007 194.4 201.2 
David_Schwimmer/H09xAD9J8HE_0000008 201.9 209.4 
David_Schwimmer/H09xAD9J8HE_0000009 210.2 214.2 
David_Schwimmer/H09xAD9J8HE_0000010 220.8 225.0 
David_Schwimmer/H09xAD9J8HE_0000011 266.2 283.6 
David_Schwimmer/H09xAD9J8HE_0000012 322.2 334.4 
David_Schwimmer/H09xAD9J8HE_0000013 359.8 366.5 
David_Schwimmer/H09xAD9J8HE_0000014 366.6 371.5 
David_Schwimmer/H09xAD9J8HE_0000015 372.1 381.1 
David_Schwimmer/H09xAD9J8HE_0000016 390.3 400.0 
David_Schwimmer/H09xAD9J8HE_0000017 420.4 426.4 
David_Schwimmer/H09xAD9J8HE_0000018 427.3 432.8 
David_Schwimmer/H09xAD9J8HE_0000019 493.4 499.0 
David_Schwimmer/H09xAD9J8HE_0000020 513.7 518.7 
David_Schwimmer/H09xAD9J8HE_0000021 519.6 523.9 
David_Schwimmer/H09xAD9J8HE_0000022 556.8 561.9 
David_Schwimmer/H09xAD9J8HE_0000023 565.7 571.2 
David_Schwimmer/H09xAD9J8HE_0000024 642.3 647.5 
David_Schwimmer/H09xAD9J8HE_0000025 682.2 689.4 
David_Schwimmer/H09xAD9J8HE_0000026 709.6 714.0 
David_Schwimmer/H09xAD9J8HE_0000027 780.1 787.1 
David_Schwimmer/H09xAD9J8HE_0000028 800.6 806.3 
David_Schwimmer/H09xAD9J8HE_0000029 820.2 824.3 
David_Schwimmer/H09xAD9J8HE_0000030 877.5 882.9 
