POI: 			Alan_Rickman 
Youtube ID: 	ZXYlWu1JfKU 
Video length: 	1602.2 sec 
Set (V): 		dev 
 
Alan_Rickman/ZXYlWu1JfKU_0000001 15.4 22.1 
Alan_Rickman/ZXYlWu1JfKU_0000002 30.5 39.0 
Alan_Rickman/ZXYlWu1JfKU_0000003 99.0 108.5 
Alan_Rickman/ZXYlWu1JfKU_0000004 123.2 128.2 
Alan_Rickman/ZXYlWu1JfKU_0000005 131.1 140.4 
Alan_Rickman/ZXYlWu1JfKU_0000006 189.6 194.1 
Alan_Rickman/ZXYlWu1JfKU_0000007 203.2 207.3 
Alan_Rickman/ZXYlWu1JfKU_0000008 211.5 216.0 
Alan_Rickman/ZXYlWu1JfKU_0000009 228.0 232.6 
Alan_Rickman/ZXYlWu1JfKU_0000010 246.6 252.4 
Alan_Rickman/ZXYlWu1JfKU_0000011 369.4 374.0 
Alan_Rickman/ZXYlWu1JfKU_0000012 376.8 382.9 
Alan_Rickman/ZXYlWu1JfKU_0000013 437.8 444.8 
Alan_Rickman/ZXYlWu1JfKU_0000014 445.4 451.7 
Alan_Rickman/ZXYlWu1JfKU_0000015 495.3 507.7 
Alan_Rickman/ZXYlWu1JfKU_0000016 526.3 532.4 
Alan_Rickman/ZXYlWu1JfKU_0000017 612.6 617.4 
Alan_Rickman/ZXYlWu1JfKU_0000018 681.6 687.0 
Alan_Rickman/ZXYlWu1JfKU_0000019 712.1 718.5 
Alan_Rickman/ZXYlWu1JfKU_0000020 734.3 740.3 
Alan_Rickman/ZXYlWu1JfKU_0000021 793.8 804.6 
Alan_Rickman/ZXYlWu1JfKU_0000022 815.4 824.3 
Alan_Rickman/ZXYlWu1JfKU_0000023 831.2 835.4 
Alan_Rickman/ZXYlWu1JfKU_0000024 865.2 870.9 
Alan_Rickman/ZXYlWu1JfKU_0000025 874.8 880.2 
Alan_Rickman/ZXYlWu1JfKU_0000026 908.0 913.7 
Alan_Rickman/ZXYlWu1JfKU_0000027 913.8 919.2 
Alan_Rickman/ZXYlWu1JfKU_0000028 1056.2 1061.5 
Alan_Rickman/ZXYlWu1JfKU_0000029 1084.2 1088.3 
Alan_Rickman/ZXYlWu1JfKU_0000030 1180.6 1185.5 
Alan_Rickman/ZXYlWu1JfKU_0000031 1232.4 1239.6 
Alan_Rickman/ZXYlWu1JfKU_0000032 1273.8 1277.7 
Alan_Rickman/ZXYlWu1JfKU_0000033 1414.8 1419.1 
Alan_Rickman/ZXYlWu1JfKU_0000034 1436.0 1440.3 
Alan_Rickman/ZXYlWu1JfKU_0000035 1519.7 1524.1 
