POI: 			Rory_Kennedy 
Youtube ID: 	Qq_ncaVFAMs 
Video length: 	4346.0 sec 
Set (V): 		dev 
 
Rory_Kennedy/Qq_ncaVFAMs_0000001 217.2 225.2 
Rory_Kennedy/Qq_ncaVFAMs_0000002 233.2 243.1 
Rory_Kennedy/Qq_ncaVFAMs_0000003 251.2 262.8 
Rory_Kennedy/Qq_ncaVFAMs_0000004 269.3 277.1 
Rory_Kennedy/Qq_ncaVFAMs_0000005 305.0 317.6 
Rory_Kennedy/Qq_ncaVFAMs_0000006 323.1 329.9 
Rory_Kennedy/Qq_ncaVFAMs_0000007 340.3 346.2 
Rory_Kennedy/Qq_ncaVFAMs_0000008 347.2 358.7 
Rory_Kennedy/Qq_ncaVFAMs_0000009 381.7 391.7 
Rory_Kennedy/Qq_ncaVFAMs_0000010 392.8 397.6 
Rory_Kennedy/Qq_ncaVFAMs_0000011 430.4 440.4 
Rory_Kennedy/Qq_ncaVFAMs_0000012 443.7 448.6 
Rory_Kennedy/Qq_ncaVFAMs_0000013 464.8 473.2 
Rory_Kennedy/Qq_ncaVFAMs_0000014 476.5 484.1 
Rory_Kennedy/Qq_ncaVFAMs_0000015 484.6 489.2 
Rory_Kennedy/Qq_ncaVFAMs_0000016 515.7 521.3 
Rory_Kennedy/Qq_ncaVFAMs_0000017 586.4 591.3 
Rory_Kennedy/Qq_ncaVFAMs_0000018 612.3 616.9 
Rory_Kennedy/Qq_ncaVFAMs_0000019 627.4 633.1 
Rory_Kennedy/Qq_ncaVFAMs_0000020 635.0 640.0 
Rory_Kennedy/Qq_ncaVFAMs_0000021 641.1 647.4 
Rory_Kennedy/Qq_ncaVFAMs_0000022 652.8 660.6 
Rory_Kennedy/Qq_ncaVFAMs_0000023 666.4 676.8 
Rory_Kennedy/Qq_ncaVFAMs_0000024 682.0 687.0 
Rory_Kennedy/Qq_ncaVFAMs_0000025 692.8 699.6 
Rory_Kennedy/Qq_ncaVFAMs_0000026 712.7 723.5 
Rory_Kennedy/Qq_ncaVFAMs_0000027 729.1 734.6 
Rory_Kennedy/Qq_ncaVFAMs_0000028 741.2 745.9 
Rory_Kennedy/Qq_ncaVFAMs_0000029 753.8 759.9 
Rory_Kennedy/Qq_ncaVFAMs_0000030 775.3 790.4 
Rory_Kennedy/Qq_ncaVFAMs_0000031 796.6 808.7 
Rory_Kennedy/Qq_ncaVFAMs_0000032 870.1 876.2 
Rory_Kennedy/Qq_ncaVFAMs_0000033 885.5 897.1 
Rory_Kennedy/Qq_ncaVFAMs_0000034 905.3 911.0 
Rory_Kennedy/Qq_ncaVFAMs_0000035 921.8 928.4 
Rory_Kennedy/Qq_ncaVFAMs_0000036 929.4 935.7 
Rory_Kennedy/Qq_ncaVFAMs_0000037 1015.0 1019.2 
Rory_Kennedy/Qq_ncaVFAMs_0000038 1032.9 1037.2 
Rory_Kennedy/Qq_ncaVFAMs_0000039 1043.4 1048.5 
Rory_Kennedy/Qq_ncaVFAMs_0000040 1055.8 1064.7 
Rory_Kennedy/Qq_ncaVFAMs_0000041 1068.8 1072.8 
Rory_Kennedy/Qq_ncaVFAMs_0000042 1096.1 1100.5 
Rory_Kennedy/Qq_ncaVFAMs_0000043 1104.3 1109.1 
Rory_Kennedy/Qq_ncaVFAMs_0000044 1111.2 1117.6 
Rory_Kennedy/Qq_ncaVFAMs_0000045 1118.0 1122.6 
Rory_Kennedy/Qq_ncaVFAMs_0000046 1140.7 1147.5 
Rory_Kennedy/Qq_ncaVFAMs_0000047 1175.3 1179.9 
Rory_Kennedy/Qq_ncaVFAMs_0000048 1185.4 1193.9 
Rory_Kennedy/Qq_ncaVFAMs_0000049 1224.2 1229.1 
Rory_Kennedy/Qq_ncaVFAMs_0000050 1237.7 1245.4 
Rory_Kennedy/Qq_ncaVFAMs_0000051 1325.8 1330.1 
Rory_Kennedy/Qq_ncaVFAMs_0000052 1330.5 1336.2 
Rory_Kennedy/Qq_ncaVFAMs_0000053 1340.8 1345.6 
Rory_Kennedy/Qq_ncaVFAMs_0000054 1354.0 1360.4 
Rory_Kennedy/Qq_ncaVFAMs_0000055 1366.0 1370.9 
Rory_Kennedy/Qq_ncaVFAMs_0000056 1376.3 1380.8 
Rory_Kennedy/Qq_ncaVFAMs_0000057 1388.2 1396.5 
Rory_Kennedy/Qq_ncaVFAMs_0000058 1416.7 1429.4 
Rory_Kennedy/Qq_ncaVFAMs_0000059 1468.5 1475.2 
Rory_Kennedy/Qq_ncaVFAMs_0000060 1484.4 1488.8 
Rory_Kennedy/Qq_ncaVFAMs_0000061 1501.0 1510.6 
Rory_Kennedy/Qq_ncaVFAMs_0000062 1517.3 1521.3 
Rory_Kennedy/Qq_ncaVFAMs_0000063 1545.4 1553.8 
Rory_Kennedy/Qq_ncaVFAMs_0000064 1555.1 1560.7 
Rory_Kennedy/Qq_ncaVFAMs_0000065 1626.0 1635.8 
Rory_Kennedy/Qq_ncaVFAMs_0000066 1686.5 1692.6 
Rory_Kennedy/Qq_ncaVFAMs_0000067 1693.7 1699.0 
Rory_Kennedy/Qq_ncaVFAMs_0000068 1708.6 1717.2 
Rory_Kennedy/Qq_ncaVFAMs_0000069 1742.0 1747.4 
Rory_Kennedy/Qq_ncaVFAMs_0000070 1765.6 1770.2 
Rory_Kennedy/Qq_ncaVFAMs_0000071 1771.6 1778.4 
Rory_Kennedy/Qq_ncaVFAMs_0000072 1797.4 1802.9 
Rory_Kennedy/Qq_ncaVFAMs_0000073 1859.0 1865.4 
Rory_Kennedy/Qq_ncaVFAMs_0000074 1868.5 1881.8 
Rory_Kennedy/Qq_ncaVFAMs_0000075 1887.6 1892.6 
Rory_Kennedy/Qq_ncaVFAMs_0000076 1901.6 1911.2 
Rory_Kennedy/Qq_ncaVFAMs_0000077 1911.4 1918.1 
Rory_Kennedy/Qq_ncaVFAMs_0000078 1934.8 1941.4 
Rory_Kennedy/Qq_ncaVFAMs_0000079 1960.1 1972.5 
Rory_Kennedy/Qq_ncaVFAMs_0000080 1990.6 1996.2 
Rory_Kennedy/Qq_ncaVFAMs_0000081 1997.7 2020.7 
Rory_Kennedy/Qq_ncaVFAMs_0000082 2046.2 2050.4 
Rory_Kennedy/Qq_ncaVFAMs_0000083 2093.7 2101.1 
Rory_Kennedy/Qq_ncaVFAMs_0000084 2107.9 2114.5 
Rory_Kennedy/Qq_ncaVFAMs_0000085 2160.2 2165.5 
Rory_Kennedy/Qq_ncaVFAMs_0000086 2197.0 2204.8 
Rory_Kennedy/Qq_ncaVFAMs_0000087 2208.5 2219.0 
Rory_Kennedy/Qq_ncaVFAMs_0000088 2235.2 2242.5 
Rory_Kennedy/Qq_ncaVFAMs_0000089 2254.9 2259.9 
Rory_Kennedy/Qq_ncaVFAMs_0000090 2286.3 2290.8 
Rory_Kennedy/Qq_ncaVFAMs_0000091 2306.3 2310.8 
Rory_Kennedy/Qq_ncaVFAMs_0000092 2324.3 2340.2 
Rory_Kennedy/Qq_ncaVFAMs_0000093 2404.1 2410.3 
Rory_Kennedy/Qq_ncaVFAMs_0000094 2411.3 2415.8 
Rory_Kennedy/Qq_ncaVFAMs_0000095 2482.9 2490.0 
Rory_Kennedy/Qq_ncaVFAMs_0000096 2499.0 2503.1 
Rory_Kennedy/Qq_ncaVFAMs_0000097 2521.7 2530.2 
Rory_Kennedy/Qq_ncaVFAMs_0000098 2541.8 2545.8 
Rory_Kennedy/Qq_ncaVFAMs_0000099 2602.9 2609.8 
Rory_Kennedy/Qq_ncaVFAMs_0000100 2621.9 2626.4 
Rory_Kennedy/Qq_ncaVFAMs_0000101 2629.8 2636.5 
Rory_Kennedy/Qq_ncaVFAMs_0000102 2642.8 2649.8 
Rory_Kennedy/Qq_ncaVFAMs_0000103 2684.8 2688.9 
Rory_Kennedy/Qq_ncaVFAMs_0000104 2690.8 2695.5 
Rory_Kennedy/Qq_ncaVFAMs_0000105 2724.8 2729.8 
Rory_Kennedy/Qq_ncaVFAMs_0000106 2733.7 2738.2 
Rory_Kennedy/Qq_ncaVFAMs_0000107 2779.9 2785.9 
