POI: 			Natalie_Portman 
Youtube ID: 	cNvo7HjL8ys 
Video length: 	1226.9 sec 
Set (V): 		dev 
 
Natalie_Portman/cNvo7HjL8ys_0000001 39.6 50.4 
Natalie_Portman/cNvo7HjL8ys_0000002 55.2 60.2 
Natalie_Portman/cNvo7HjL8ys_0000003 90.6 113.2 
Natalie_Portman/cNvo7HjL8ys_0000004 123.7 128.3 
Natalie_Portman/cNvo7HjL8ys_0000005 128.5 138.5 
Natalie_Portman/cNvo7HjL8ys_0000006 138.6 142.7 
Natalie_Portman/cNvo7HjL8ys_0000007 143.6 153.0 
Natalie_Portman/cNvo7HjL8ys_0000008 170.6 181.1 
Natalie_Portman/cNvo7HjL8ys_0000009 189.4 195.4 
Natalie_Portman/cNvo7HjL8ys_0000010 196.3 204.4 
Natalie_Portman/cNvo7HjL8ys_0000011 205.3 212.2 
Natalie_Portman/cNvo7HjL8ys_0000012 212.7 221.4 
Natalie_Portman/cNvo7HjL8ys_0000013 232.4 237.8 
Natalie_Portman/cNvo7HjL8ys_0000014 237.9 245.9 
Natalie_Portman/cNvo7HjL8ys_0000015 265.6 274.0 
Natalie_Portman/cNvo7HjL8ys_0000016 274.8 279.7 
Natalie_Portman/cNvo7HjL8ys_0000017 282.1 288.6 
Natalie_Portman/cNvo7HjL8ys_0000018 313.8 327.4 
Natalie_Portman/cNvo7HjL8ys_0000019 333.2 337.6 
Natalie_Portman/cNvo7HjL8ys_0000020 343.8 352.8 
Natalie_Portman/cNvo7HjL8ys_0000021 355.0 359.4 
Natalie_Portman/cNvo7HjL8ys_0000022 369.0 374.8 
Natalie_Portman/cNvo7HjL8ys_0000023 375.3 394.0 
Natalie_Portman/cNvo7HjL8ys_0000024 406.7 411.4 
Natalie_Portman/cNvo7HjL8ys_0000025 414.5 428.3 
Natalie_Portman/cNvo7HjL8ys_0000026 428.4 433.9 
Natalie_Portman/cNvo7HjL8ys_0000027 434.3 439.6 
Natalie_Portman/cNvo7HjL8ys_0000028 469.9 491.3 
Natalie_Portman/cNvo7HjL8ys_0000029 496.6 509.0 
Natalie_Portman/cNvo7HjL8ys_0000030 518.1 523.8 
Natalie_Portman/cNvo7HjL8ys_0000031 527.0 534.0 
Natalie_Portman/cNvo7HjL8ys_0000032 534.8 539.0 
Natalie_Portman/cNvo7HjL8ys_0000033 548.2 554.0 
Natalie_Portman/cNvo7HjL8ys_0000034 569.4 582.2 
Natalie_Portman/cNvo7HjL8ys_0000035 582.6 591.8 
Natalie_Portman/cNvo7HjL8ys_0000036 598.2 604.4 
Natalie_Portman/cNvo7HjL8ys_0000037 641.2 658.0 
Natalie_Portman/cNvo7HjL8ys_0000038 668.6 679.0 
Natalie_Portman/cNvo7HjL8ys_0000039 688.9 701.2 
Natalie_Portman/cNvo7HjL8ys_0000040 724.9 732.4 
Natalie_Portman/cNvo7HjL8ys_0000041 732.6 739.3 
Natalie_Portman/cNvo7HjL8ys_0000042 740.3 746.2 
Natalie_Portman/cNvo7HjL8ys_0000043 767.8 773.1 
Natalie_Portman/cNvo7HjL8ys_0000044 773.7 794.5 
Natalie_Portman/cNvo7HjL8ys_0000045 808.3 824.8 
Natalie_Portman/cNvo7HjL8ys_0000046 828.4 833.9 
Natalie_Portman/cNvo7HjL8ys_0000047 844.3 852.9 
Natalie_Portman/cNvo7HjL8ys_0000048 859.5 864.7 
Natalie_Portman/cNvo7HjL8ys_0000049 868.2 873.3 
Natalie_Portman/cNvo7HjL8ys_0000050 890.7 900.0 
Natalie_Portman/cNvo7HjL8ys_0000051 907.6 916.4 
Natalie_Portman/cNvo7HjL8ys_0000052 917.0 923.2 
Natalie_Portman/cNvo7HjL8ys_0000053 923.4 928.8 
Natalie_Portman/cNvo7HjL8ys_0000054 931.0 941.6 
Natalie_Portman/cNvo7HjL8ys_0000055 955.8 959.8 
Natalie_Portman/cNvo7HjL8ys_0000056 960.4 973.5 
Natalie_Portman/cNvo7HjL8ys_0000057 977.0 986.7 
Natalie_Portman/cNvo7HjL8ys_0000058 989.3 995.3 
Natalie_Portman/cNvo7HjL8ys_0000059 1035.8 1044.2 
Natalie_Portman/cNvo7HjL8ys_0000060 1045.9 1070.8 
Natalie_Portman/cNvo7HjL8ys_0000061 1070.9 1079.4 
Natalie_Portman/cNvo7HjL8ys_0000062 1089.4 1106.8 
Natalie_Portman/cNvo7HjL8ys_0000063 1122.0 1161.8 
Natalie_Portman/cNvo7HjL8ys_0000064 1171.7 1201.6 
Natalie_Portman/cNvo7HjL8ys_0000065 1208.0 1212.6 
