POI: 			Violante_Placido 
Youtube ID: 	Muffna6f2-c 
Video length: 	359.7 sec 
Set (V): 		dev 
 
Violante_Placido/Muffna6f2-c_0000001 24.6 29.4 
Violante_Placido/Muffna6f2-c_0000002 41.2 46.4 
Violante_Placido/Muffna6f2-c_0000003 55.5 59.4 
Violante_Placido/Muffna6f2-c_0000004 59.7 65.4 
Violante_Placido/Muffna6f2-c_0000005 67.8 72.1 
Violante_Placido/Muffna6f2-c_0000006 72.5 77.2 
Violante_Placido/Muffna6f2-c_0000007 86.3 96.5 
Violante_Placido/Muffna6f2-c_0000008 97.2 102.5 
Violante_Placido/Muffna6f2-c_0000009 104.5 112.3 
Violante_Placido/Muffna6f2-c_0000010 134.4 139.4 
Violante_Placido/Muffna6f2-c_0000011 149.2 164.0 
Violante_Placido/Muffna6f2-c_0000012 166.7 175.0 
Violante_Placido/Muffna6f2-c_0000013 179.5 189.7 
Violante_Placido/Muffna6f2-c_0000014 200.4 204.5 
Violante_Placido/Muffna6f2-c_0000015 179.7 189.7 
Violante_Placido/Muffna6f2-c_0000016 214.7 220.0 
Violante_Placido/Muffna6f2-c_0000017 221.0 225.8 
Violante_Placido/Muffna6f2-c_0000018 228.1 234.7 
Violante_Placido/Muffna6f2-c_0000019 239.7 257.4 
Violante_Placido/Muffna6f2-c_0000020 263.4 269.9 
Violante_Placido/Muffna6f2-c_0000021 279.4 287.0 
Violante_Placido/Muffna6f2-c_0000022 288.6 297.2 
