POI: 			Preity_Zinta 
Youtube ID: 	Ifz1XY9Ob3c 
Video length: 	294.9 sec 
Set (V): 		dev 
 
Preity_Zinta/Ifz1XY9Ob3c_0000001 14.2 22.4 
Preity_Zinta/Ifz1XY9Ob3c_0000002 25.0 37.0 
Preity_Zinta/Ifz1XY9Ob3c_0000003 37.4 43.0 
Preity_Zinta/Ifz1XY9Ob3c_0000004 46.8 52.8 
Preity_Zinta/Ifz1XY9Ob3c_0000005 53.4 76.0 
Preity_Zinta/Ifz1XY9Ob3c_0000006 87.2 92.1 
Preity_Zinta/Ifz1XY9Ob3c_0000007 92.6 107.2 
Preity_Zinta/Ifz1XY9Ob3c_0000008 108.5 139.7 
Preity_Zinta/Ifz1XY9Ob3c_0000009 140.3 146.9 
Preity_Zinta/Ifz1XY9Ob3c_0000010 147.4 152.5 
Preity_Zinta/Ifz1XY9Ob3c_0000011 154.0 160.3 
Preity_Zinta/Ifz1XY9Ob3c_0000012 166.6 176.0 
Preity_Zinta/Ifz1XY9Ob3c_0000013 187.4 200.0 
Preity_Zinta/Ifz1XY9Ob3c_0000014 201.0 219.7 
Preity_Zinta/Ifz1XY9Ob3c_0000015 222.0 256.0 
Preity_Zinta/Ifz1XY9Ob3c_0000016 258.6 264.8 
Preity_Zinta/Ifz1XY9Ob3c_0000017 265.0 275.8 
