POI: 			Preity_Zinta 
Youtube ID: 	kxXTZiQEu1E 
Video length: 	735.5 sec 
Set (V): 		dev 
 
Preity_Zinta/kxXTZiQEu1E_0000001 99.8 108.0 
Preity_Zinta/kxXTZiQEu1E_0000002 108.9 128.8 
Preity_Zinta/kxXTZiQEu1E_0000003 129.0 134.7 
Preity_Zinta/kxXTZiQEu1E_0000004 135.3 167.7 
Preity_Zinta/kxXTZiQEu1E_0000005 170.6 180.5 
Preity_Zinta/kxXTZiQEu1E_0000006 186.6 227.2 
Preity_Zinta/kxXTZiQEu1E_0000007 228.6 245.6 
Preity_Zinta/kxXTZiQEu1E_0000008 245.8 264.2 
Preity_Zinta/kxXTZiQEu1E_0000009 269.4 275.5 
Preity_Zinta/kxXTZiQEu1E_0000010 276.1 307.7 
Preity_Zinta/kxXTZiQEu1E_0000011 308.6 329.6 
Preity_Zinta/kxXTZiQEu1E_0000012 334.3 344.6 
Preity_Zinta/kxXTZiQEu1E_0000013 379.9 389.9 
Preity_Zinta/kxXTZiQEu1E_0000014 418.4 423.6 
Preity_Zinta/kxXTZiQEu1E_0000015 438.0 445.6 
Preity_Zinta/kxXTZiQEu1E_0000016 269.3 275.5 
Preity_Zinta/kxXTZiQEu1E_0000017 276.1 307.8 
Preity_Zinta/kxXTZiQEu1E_0000018 308.5 326.4 
Preity_Zinta/kxXTZiQEu1E_0000019 327.0 344.6 
Preity_Zinta/kxXTZiQEu1E_0000020 345.2 350.3 
Preity_Zinta/kxXTZiQEu1E_0000021 350.9 368.2 
Preity_Zinta/kxXTZiQEu1E_0000022 368.4 374.6 
Preity_Zinta/kxXTZiQEu1E_0000023 375.8 390.0 
Preity_Zinta/kxXTZiQEu1E_0000024 391.7 396.6 
Preity_Zinta/kxXTZiQEu1E_0000025 404.0 423.8 
Preity_Zinta/kxXTZiQEu1E_0000026 424.5 433.1 
Preity_Zinta/kxXTZiQEu1E_0000027 438.0 442.0 
Preity_Zinta/kxXTZiQEu1E_0000028 452.7 461.2 
Preity_Zinta/kxXTZiQEu1E_0000029 468.7 477.1 
Preity_Zinta/kxXTZiQEu1E_0000030 477.5 494.8 
Preity_Zinta/kxXTZiQEu1E_0000031 495.3 512.2 
Preity_Zinta/kxXTZiQEu1E_0000032 512.5 538.8 
Preity_Zinta/kxXTZiQEu1E_0000033 538.8 549.5 
Preity_Zinta/kxXTZiQEu1E_0000034 550.6 573.1 
Preity_Zinta/kxXTZiQEu1E_0000035 574.9 587.0 
Preity_Zinta/kxXTZiQEu1E_0000036 591.4 605.3 
Preity_Zinta/kxXTZiQEu1E_0000037 606.6 614.6 
Preity_Zinta/kxXTZiQEu1E_0000038 617.9 644.6 
Preity_Zinta/kxXTZiQEu1E_0000039 646.6 650.9 
Preity_Zinta/kxXTZiQEu1E_0000040 651.4 678.8 
Preity_Zinta/kxXTZiQEu1E_0000041 679.5 684.0 
Preity_Zinta/kxXTZiQEu1E_0000042 695.2 720.8 
Preity_Zinta/kxXTZiQEu1E_0000043 720.9 727.2 
