POI: 			Preity_Zinta 
Youtube ID: 	7_h0_dHd7_w 
Video length: 	1315.1 sec 
Set (V): 		dev 
 
Preity_Zinta/7_h0_dHd7_w_0000001 112.9 121.3 
Preity_Zinta/7_h0_dHd7_w_0000002 185.0 192.2 
Preity_Zinta/7_h0_dHd7_w_0000003 205.0 209.1 
Preity_Zinta/7_h0_dHd7_w_0000004 217.1 221.2 
Preity_Zinta/7_h0_dHd7_w_0000005 246.1 252.5 
Preity_Zinta/7_h0_dHd7_w_0000006 334.0 340.9 
Preity_Zinta/7_h0_dHd7_w_0000007 341.4 346.3 
Preity_Zinta/7_h0_dHd7_w_0000008 356.8 368.2 
Preity_Zinta/7_h0_dHd7_w_0000009 389.5 394.1 
Preity_Zinta/7_h0_dHd7_w_0000010 400.4 406.1 
Preity_Zinta/7_h0_dHd7_w_0000011 421.1 428.4 
Preity_Zinta/7_h0_dHd7_w_0000012 432.8 446.8 
Preity_Zinta/7_h0_dHd7_w_0000013 451.5 463.7 
Preity_Zinta/7_h0_dHd7_w_0000014 484.9 491.6 
Preity_Zinta/7_h0_dHd7_w_0000015 504.3 513.6 
Preity_Zinta/7_h0_dHd7_w_0000016 526.0 531.6 
Preity_Zinta/7_h0_dHd7_w_0000017 553.9 558.4 
Preity_Zinta/7_h0_dHd7_w_0000018 608.2 612.4 
Preity_Zinta/7_h0_dHd7_w_0000019 640.2 656.0 
Preity_Zinta/7_h0_dHd7_w_0000020 720.4 725.4 
Preity_Zinta/7_h0_dHd7_w_0000021 728.8 733.7 
Preity_Zinta/7_h0_dHd7_w_0000022 750.0 758.4 
Preity_Zinta/7_h0_dHd7_w_0000023 765.4 771.7 
Preity_Zinta/7_h0_dHd7_w_0000024 775.0 789.8 
Preity_Zinta/7_h0_dHd7_w_0000025 794.6 800.7 
Preity_Zinta/7_h0_dHd7_w_0000026 804.4 810.2 
Preity_Zinta/7_h0_dHd7_w_0000027 811.0 823.2 
Preity_Zinta/7_h0_dHd7_w_0000028 827.7 839.8 
Preity_Zinta/7_h0_dHd7_w_0000029 887.6 902.2 
Preity_Zinta/7_h0_dHd7_w_0000030 924.4 930.6 
Preity_Zinta/7_h0_dHd7_w_0000031 943.2 947.4 
Preity_Zinta/7_h0_dHd7_w_0000032 976.8 980.7 
Preity_Zinta/7_h0_dHd7_w_0000033 991.7 997.0 
Preity_Zinta/7_h0_dHd7_w_0000034 1016.7 1023.9 
Preity_Zinta/7_h0_dHd7_w_0000035 1037.4 1045.4 
Preity_Zinta/7_h0_dHd7_w_0000036 1061.7 1066.8 
Preity_Zinta/7_h0_dHd7_w_0000037 1083.4 1089.4 
Preity_Zinta/7_h0_dHd7_w_0000038 1122.0 1127.6 
Preity_Zinta/7_h0_dHd7_w_0000039 1145.0 1149.6 
Preity_Zinta/7_h0_dHd7_w_0000040 1158.6 1162.8 
Preity_Zinta/7_h0_dHd7_w_0000041 1175.6 1182.8 
Preity_Zinta/7_h0_dHd7_w_0000042 1194.0 1198.6 
Preity_Zinta/7_h0_dHd7_w_0000043 1214.4 1220.6 
