POI: 			Preity_Zinta 
Youtube ID: 	diAboXwOsog 
Video length: 	916.1 sec 
Set (V): 		dev 
 
Preity_Zinta/diAboXwOsog_0000001 36.0 40.2 
Preity_Zinta/diAboXwOsog_0000002 141.9 148.2 
Preity_Zinta/diAboXwOsog_0000003 156.6 164.9 
Preity_Zinta/diAboXwOsog_0000004 171.9 176.3 
Preity_Zinta/diAboXwOsog_0000005 194.5 207.2 
Preity_Zinta/diAboXwOsog_0000006 237.6 242.5 
Preity_Zinta/diAboXwOsog_0000007 258.0 264.2 
Preity_Zinta/diAboXwOsog_0000008 302.8 307.8 
Preity_Zinta/diAboXwOsog_0000009 323.2 329.6 
Preity_Zinta/diAboXwOsog_0000010 370.6 386.3 
Preity_Zinta/diAboXwOsog_0000011 409.0 419.9 
Preity_Zinta/diAboXwOsog_0000012 420.1 425.0 
Preity_Zinta/diAboXwOsog_0000013 425.9 437.3 
Preity_Zinta/diAboXwOsog_0000014 454.7 460.8 
Preity_Zinta/diAboXwOsog_0000015 467.8 479.1 
Preity_Zinta/diAboXwOsog_0000016 485.7 494.0 
Preity_Zinta/diAboXwOsog_0000017 509.2 514.4 
Preity_Zinta/diAboXwOsog_0000018 520.4 526.7 
Preity_Zinta/diAboXwOsog_0000019 543.2 549.5 
Preity_Zinta/diAboXwOsog_0000020 553.1 558.8 
Preity_Zinta/diAboXwOsog_0000021 589.0 595.1 
Preity_Zinta/diAboXwOsog_0000022 595.6 600.6 
Preity_Zinta/diAboXwOsog_0000023 607.5 614.7 
Preity_Zinta/diAboXwOsog_0000024 627.4 632.2 
Preity_Zinta/diAboXwOsog_0000025 638.8 651.0 
Preity_Zinta/diAboXwOsog_0000026 680.0 684.5 
Preity_Zinta/diAboXwOsog_0000027 692.4 696.6 
Preity_Zinta/diAboXwOsog_0000028 701.4 708.7 
Preity_Zinta/diAboXwOsog_0000029 766.2 773.0 
Preity_Zinta/diAboXwOsog_0000030 773.4 777.6 
Preity_Zinta/diAboXwOsog_0000031 792.2 799.9 
Preity_Zinta/diAboXwOsog_0000032 805.3 814.5 
Preity_Zinta/diAboXwOsog_0000033 815.0 819.1 
Preity_Zinta/diAboXwOsog_0000034 820.0 831.6 
Preity_Zinta/diAboXwOsog_0000035 860.9 865.8 
Preity_Zinta/diAboXwOsog_0000036 889.2 896.1 
