POI: 			Preity_Zinta 
Youtube ID: 	s40B9MuMEgI 
Video length: 	462.6 sec 
Set (V): 		dev 
 
Preity_Zinta/s40B9MuMEgI_0000001 47.5 61.9 
Preity_Zinta/s40B9MuMEgI_0000002 62.6 74.2 
Preity_Zinta/s40B9MuMEgI_0000003 75.3 97.9 
Preity_Zinta/s40B9MuMEgI_0000004 99.2 114.4 
Preity_Zinta/s40B9MuMEgI_0000005 114.9 127.4 
Preity_Zinta/s40B9MuMEgI_0000006 129.2 142.9 
Preity_Zinta/s40B9MuMEgI_0000007 146.8 154.2 
Preity_Zinta/s40B9MuMEgI_0000008 156.5 163.2 
Preity_Zinta/s40B9MuMEgI_0000009 171.7 185.8 
Preity_Zinta/s40B9MuMEgI_0000010 186.0 197.8 
Preity_Zinta/s40B9MuMEgI_0000011 198.5 218.2 
Preity_Zinta/s40B9MuMEgI_0000012 283.4 287.6 
Preity_Zinta/s40B9MuMEgI_0000013 311.7 315.9 
Preity_Zinta/s40B9MuMEgI_0000014 317.8 334.8 
Preity_Zinta/s40B9MuMEgI_0000015 335.8 363.2 
Preity_Zinta/s40B9MuMEgI_0000016 387.8 411.0 
