POI: 			Preity_Zinta 
Youtube ID: 	C7tJHiv3hfk 
Video length: 	774.4 sec 
Set (V): 		dev 
 
Preity_Zinta/C7tJHiv3hfk_0000001 101.8 114.2 
Preity_Zinta/C7tJHiv3hfk_0000002 116.5 120.6 
Preity_Zinta/C7tJHiv3hfk_0000003 122.9 129.8 
Preity_Zinta/C7tJHiv3hfk_0000004 139.6 143.8 
Preity_Zinta/C7tJHiv3hfk_0000005 145.0 157.9 
Preity_Zinta/C7tJHiv3hfk_0000006 144.9 157.7 
Preity_Zinta/C7tJHiv3hfk_0000007 190.3 213.2 
Preity_Zinta/C7tJHiv3hfk_0000008 217.1 235.6 
Preity_Zinta/C7tJHiv3hfk_0000009 253.8 260.6 
Preity_Zinta/C7tJHiv3hfk_0000010 265.6 272.4 
Preity_Zinta/C7tJHiv3hfk_0000011 273.3 284.2 
Preity_Zinta/C7tJHiv3hfk_0000012 304.8 314.5 
Preity_Zinta/C7tJHiv3hfk_0000013 315.6 324.2 
Preity_Zinta/C7tJHiv3hfk_0000014 345.2 352.4 
Preity_Zinta/C7tJHiv3hfk_0000015 376.3 380.6 
Preity_Zinta/C7tJHiv3hfk_0000016 381.2 389.0 
Preity_Zinta/C7tJHiv3hfk_0000017 416.5 429.8 
Preity_Zinta/C7tJHiv3hfk_0000018 435.1 455.9 
Preity_Zinta/C7tJHiv3hfk_0000019 475.2 484.5 
Preity_Zinta/C7tJHiv3hfk_0000020 491.1 500.8 
Preity_Zinta/C7tJHiv3hfk_0000021 502.0 510.7 
Preity_Zinta/C7tJHiv3hfk_0000022 536.3 541.0 
Preity_Zinta/C7tJHiv3hfk_0000023 541.8 549.4 
Preity_Zinta/C7tJHiv3hfk_0000024 549.8 555.4 
Preity_Zinta/C7tJHiv3hfk_0000025 563.2 580.8 
Preity_Zinta/C7tJHiv3hfk_0000026 581.1 592.1 
Preity_Zinta/C7tJHiv3hfk_0000027 608.5 613.4 
Preity_Zinta/C7tJHiv3hfk_0000028 633.0 644.3 
Preity_Zinta/C7tJHiv3hfk_0000029 647.7 655.0 
Preity_Zinta/C7tJHiv3hfk_0000030 713.3 719.4 
Preity_Zinta/C7tJHiv3hfk_0000031 720.0 730.3 
Preity_Zinta/C7tJHiv3hfk_0000032 748.1 765.6 
