POI: 			Preity_Zinta 
Youtube ID: 	niqOkCJVjxc 
Video length: 	669.6 sec 
Set (V): 		dev 
 
Preity_Zinta/niqOkCJVjxc_0000001 19.0 46.4 
Preity_Zinta/niqOkCJVjxc_0000002 47.0 55.1 
Preity_Zinta/niqOkCJVjxc_0000003 55.5 70.0 
Preity_Zinta/niqOkCJVjxc_0000004 75.8 82.0 
Preity_Zinta/niqOkCJVjxc_0000005 83.4 109.4 
Preity_Zinta/niqOkCJVjxc_0000006 110.1 131.2 
Preity_Zinta/niqOkCJVjxc_0000007 137.5 146.5 
Preity_Zinta/niqOkCJVjxc_0000008 148.1 161.9 
Preity_Zinta/niqOkCJVjxc_0000009 169.5 184.1 
Preity_Zinta/niqOkCJVjxc_0000010 184.3 190.3 
Preity_Zinta/niqOkCJVjxc_0000011 190.7 198.2 
Preity_Zinta/niqOkCJVjxc_0000012 198.4 203.6 
Preity_Zinta/niqOkCJVjxc_0000013 208.8 213.0 
Preity_Zinta/niqOkCJVjxc_0000014 194.6 213.6 
Preity_Zinta/niqOkCJVjxc_0000015 215.5 251.3 
Preity_Zinta/niqOkCJVjxc_0000016 252.4 261.1 
Preity_Zinta/niqOkCJVjxc_0000017 261.4 265.8 
Preity_Zinta/niqOkCJVjxc_0000018 266.2 273.5 
Preity_Zinta/niqOkCJVjxc_0000019 275.5 280.2 
Preity_Zinta/niqOkCJVjxc_0000020 281.2 299.7 
Preity_Zinta/niqOkCJVjxc_0000021 321.6 332.0 
Preity_Zinta/niqOkCJVjxc_0000022 332.1 345.8 
Preity_Zinta/niqOkCJVjxc_0000023 347.2 358.8 
Preity_Zinta/niqOkCJVjxc_0000024 359.6 380.8 
Preity_Zinta/niqOkCJVjxc_0000025 387.3 412.2 
Preity_Zinta/niqOkCJVjxc_0000026 412.4 431.2 
Preity_Zinta/niqOkCJVjxc_0000027 437.0 482.7 
Preity_Zinta/niqOkCJVjxc_0000028 483.0 493.9 
Preity_Zinta/niqOkCJVjxc_0000029 502.0 511.4 
Preity_Zinta/niqOkCJVjxc_0000030 512.6 520.6 
Preity_Zinta/niqOkCJVjxc_0000031 521.2 526.0 
Preity_Zinta/niqOkCJVjxc_0000032 493.5 498.7 
Preity_Zinta/niqOkCJVjxc_0000033 529.2 533.6 
Preity_Zinta/niqOkCJVjxc_0000034 536.8 552.0 
Preity_Zinta/niqOkCJVjxc_0000035 552.2 568.9 
Preity_Zinta/niqOkCJVjxc_0000036 569.1 597.5 
Preity_Zinta/niqOkCJVjxc_0000037 597.6 613.3 
Preity_Zinta/niqOkCJVjxc_0000038 619.4 623.4 
Preity_Zinta/niqOkCJVjxc_0000039 632.1 638.2 
Preity_Zinta/niqOkCJVjxc_0000040 663.7 667.8 
Preity_Zinta/niqOkCJVjxc_0000041 640.0 645.0 
Preity_Zinta/niqOkCJVjxc_0000042 649.1 656.6 
