POI: 			Preity_Zinta 
Youtube ID: 	DdNV2ZDAs_0 
Video length: 	1144.2 sec 
Set (V): 		dev 
 
Preity_Zinta/DdNV2ZDAs_0_0000001 86.3 93.5 
Preity_Zinta/DdNV2ZDAs_0_0000002 119.6 129.2 
Preity_Zinta/DdNV2ZDAs_0_0000003 158.3 168.6 
Preity_Zinta/DdNV2ZDAs_0_0000004 205.6 210.0 
Preity_Zinta/DdNV2ZDAs_0_0000005 227.3 232.0 
Preity_Zinta/DdNV2ZDAs_0_0000006 291.9 299.6 
Preity_Zinta/DdNV2ZDAs_0_0000007 312.3 317.7 
Preity_Zinta/DdNV2ZDAs_0_0000008 318.1 325.1 
Preity_Zinta/DdNV2ZDAs_0_0000009 366.6 371.4 
Preity_Zinta/DdNV2ZDAs_0_0000010 413.0 422.5 
Preity_Zinta/DdNV2ZDAs_0_0000011 430.3 437.6 
Preity_Zinta/DdNV2ZDAs_0_0000012 469.0 474.9 
Preity_Zinta/DdNV2ZDAs_0_0000013 532.4 541.2 
Preity_Zinta/DdNV2ZDAs_0_0000014 541.4 549.5 
Preity_Zinta/DdNV2ZDAs_0_0000015 563.7 568.8 
Preity_Zinta/DdNV2ZDAs_0_0000016 579.6 588.6 
Preity_Zinta/DdNV2ZDAs_0_0000017 638.7 643.8 
Preity_Zinta/DdNV2ZDAs_0_0000018 648.7 654.5 
Preity_Zinta/DdNV2ZDAs_0_0000019 682.8 689.7 
