POI: 			Rob_Brydon 
Youtube ID: 	K3VF9KATPqc 
Video length: 	3168.2 sec 
Set (V): 		dev 
 
Rob_Brydon/K3VF9KATPqc_0000001 42.3 48.6 
Rob_Brydon/K3VF9KATPqc_0000002 50.0 56.8 
Rob_Brydon/K3VF9KATPqc_0000003 85.6 98.1 
Rob_Brydon/K3VF9KATPqc_0000004 100.5 107.2 
Rob_Brydon/K3VF9KATPqc_0000005 127.7 131.6 
Rob_Brydon/K3VF9KATPqc_0000006 142.6 147.8 
Rob_Brydon/K3VF9KATPqc_0000007 167.6 180.9 
Rob_Brydon/K3VF9KATPqc_0000008 205.6 213.6 
Rob_Brydon/K3VF9KATPqc_0000009 180.1 184.5 
Rob_Brydon/K3VF9KATPqc_0000010 185.3 201.7 
Rob_Brydon/K3VF9KATPqc_0000011 238.9 244.0 
Rob_Brydon/K3VF9KATPqc_0000012 277.7 283.7 
Rob_Brydon/K3VF9KATPqc_0000013 287.8 297.9 
Rob_Brydon/K3VF9KATPqc_0000014 303.9 322.8 
Rob_Brydon/K3VF9KATPqc_0000015 325.3 330.0 
Rob_Brydon/K3VF9KATPqc_0000016 335.5 340.8 
Rob_Brydon/K3VF9KATPqc_0000017 347.9 352.3 
Rob_Brydon/K3VF9KATPqc_0000018 360.9 367.8 
Rob_Brydon/K3VF9KATPqc_0000019 376.5 386.0 
Rob_Brydon/K3VF9KATPqc_0000020 388.6 395.4 
Rob_Brydon/K3VF9KATPqc_0000021 419.5 426.6 
Rob_Brydon/K3VF9KATPqc_0000022 427.8 434.0 
Rob_Brydon/K3VF9KATPqc_0000023 470.8 479.7 
Rob_Brydon/K3VF9KATPqc_0000024 516.8 523.3 
Rob_Brydon/K3VF9KATPqc_0000025 577.4 586.6 
Rob_Brydon/K3VF9KATPqc_0000026 714.5 724.2 
Rob_Brydon/K3VF9KATPqc_0000027 747.3 752.0 
Rob_Brydon/K3VF9KATPqc_0000028 760.5 768.2 
Rob_Brydon/K3VF9KATPqc_0000029 770.2 777.0 
Rob_Brydon/K3VF9KATPqc_0000030 777.3 781.6 
