POI: 			Anthony_Mackie 
Youtube ID: 	sRK36oyidyc 
Video length: 	440.9 sec 
Set (V): 		dev 
 
Anthony_Mackie/sRK36oyidyc_0000001 69.8 86.3 
Anthony_Mackie/sRK36oyidyc_0000002 89.3 163.9 
Anthony_Mackie/sRK36oyidyc_0000003 179.0 184.8 
Anthony_Mackie/sRK36oyidyc_0000004 193.4 198.8 
Anthony_Mackie/sRK36oyidyc_0000005 199.2 209.2 
Anthony_Mackie/sRK36oyidyc_0000006 211.2 215.7 
Anthony_Mackie/sRK36oyidyc_0000007 216.6 224.2 
Anthony_Mackie/sRK36oyidyc_0000008 239.8 257.7 
Anthony_Mackie/sRK36oyidyc_0000009 273.7 278.1 
Anthony_Mackie/sRK36oyidyc_0000010 264.9 274.0 
Anthony_Mackie/sRK36oyidyc_0000011 289.7 298.0 
Anthony_Mackie/sRK36oyidyc_0000012 299.1 311.3 
Anthony_Mackie/sRK36oyidyc_0000013 319.1 324.0 
Anthony_Mackie/sRK36oyidyc_0000014 339.4 344.7 
Anthony_Mackie/sRK36oyidyc_0000015 357.4 370.5 
Anthony_Mackie/sRK36oyidyc_0000016 373.8 388.6 
Anthony_Mackie/sRK36oyidyc_0000017 394.9 401.1 
Anthony_Mackie/sRK36oyidyc_0000018 410.5 416.8 
Anthony_Mackie/sRK36oyidyc_0000019 418.8 425.5 
