POI: 			Justine_Ezarik 
Youtube ID: 	Di27FprN7Vs 
Video length: 	724.5 sec 
Set (V): 		dev 
 
Justine_Ezarik/Di27FprN7Vs_0000001 54.0 58.4 
Justine_Ezarik/Di27FprN7Vs_0000002 84.2 90.0 
Justine_Ezarik/Di27FprN7Vs_0000003 133.3 141.4 
Justine_Ezarik/Di27FprN7Vs_0000004 164.5 179.0 
Justine_Ezarik/Di27FprN7Vs_0000005 226.2 233.1 
Justine_Ezarik/Di27FprN7Vs_0000006 233.2 238.4 
Justine_Ezarik/Di27FprN7Vs_0000007 279.2 289.8 
Justine_Ezarik/Di27FprN7Vs_0000008 323.2 328.2 
Justine_Ezarik/Di27FprN7Vs_0000009 331.1 335.3 
Justine_Ezarik/Di27FprN7Vs_0000010 336.2 340.4 
Justine_Ezarik/Di27FprN7Vs_0000011 377.8 389.2 
Justine_Ezarik/Di27FprN7Vs_0000012 434.3 439.9 
Justine_Ezarik/Di27FprN7Vs_0000013 458.7 467.4 
Justine_Ezarik/Di27FprN7Vs_0000014 475.2 479.3 
Justine_Ezarik/Di27FprN7Vs_0000015 543.1 547.3 
Justine_Ezarik/Di27FprN7Vs_0000016 553.6 563.7 
Justine_Ezarik/Di27FprN7Vs_0000017 585.8 593.6 
Justine_Ezarik/Di27FprN7Vs_0000018 658.3 662.8 
Justine_Ezarik/Di27FprN7Vs_0000019 670.4 678.0 
