POI: 			David_Suchet 
Youtube ID: 	Xo8b6wyV_2U 
Video length: 	531.5 sec 
Set (V): 		dev 
 
David_Suchet/Xo8b6wyV_2U_0000001 14.6 33.3 
David_Suchet/Xo8b6wyV_2U_0000002 34.2 39.6 
David_Suchet/Xo8b6wyV_2U_0000003 46.2 61.1 
David_Suchet/Xo8b6wyV_2U_0000004 64.7 70.3 
David_Suchet/Xo8b6wyV_2U_0000005 82.6 135.5 
David_Suchet/Xo8b6wyV_2U_0000006 137.7 142.2 
David_Suchet/Xo8b6wyV_2U_0000007 142.3 157.3 
David_Suchet/Xo8b6wyV_2U_0000008 158.7 168.1 
David_Suchet/Xo8b6wyV_2U_0000009 172.6 190.5 
David_Suchet/Xo8b6wyV_2U_0000010 197.0 205.1 
David_Suchet/Xo8b6wyV_2U_0000011 208.2 217.3 
David_Suchet/Xo8b6wyV_2U_0000012 222.6 230.2 
David_Suchet/Xo8b6wyV_2U_0000013 235.7 241.8 
David_Suchet/Xo8b6wyV_2U_0000014 243.2 247.2 
David_Suchet/Xo8b6wyV_2U_0000015 258.5 278.0 
David_Suchet/Xo8b6wyV_2U_0000016 279.6 286.8 
David_Suchet/Xo8b6wyV_2U_0000017 288.7 320.2 
David_Suchet/Xo8b6wyV_2U_0000018 345.0 358.3 
David_Suchet/Xo8b6wyV_2U_0000019 359.0 363.1 
David_Suchet/Xo8b6wyV_2U_0000020 364.1 380.6 
David_Suchet/Xo8b6wyV_2U_0000021 387.3 399.0 
David_Suchet/Xo8b6wyV_2U_0000022 401.0 408.9 
David_Suchet/Xo8b6wyV_2U_0000023 414.5 421.0 
David_Suchet/Xo8b6wyV_2U_0000024 426.8 432.0 
David_Suchet/Xo8b6wyV_2U_0000025 433.4 475.2 
David_Suchet/Xo8b6wyV_2U_0000026 489.0 502.4 
David_Suchet/Xo8b6wyV_2U_0000027 502.5 508.8 
