POI: 			Smokey_Robinson 
Youtube ID: 	tNLuUGUE_c8 
Video length: 	1174.7 sec 
Set (V): 		dev 
 
Smokey_Robinson/tNLuUGUE_c8_0000001 76.1 81.7 
Smokey_Robinson/tNLuUGUE_c8_0000002 90.9 94.9 
Smokey_Robinson/tNLuUGUE_c8_0000003 107.0 117.0 
Smokey_Robinson/tNLuUGUE_c8_0000004 124.4 130.3 
Smokey_Robinson/tNLuUGUE_c8_0000005 147.5 153.7 
Smokey_Robinson/tNLuUGUE_c8_0000006 172.0 180.4 
Smokey_Robinson/tNLuUGUE_c8_0000007 180.6 191.4 
Smokey_Robinson/tNLuUGUE_c8_0000008 219.7 227.4 
Smokey_Robinson/tNLuUGUE_c8_0000009 228.2 240.9 
Smokey_Robinson/tNLuUGUE_c8_0000010 243.1 248.9 
Smokey_Robinson/tNLuUGUE_c8_0000011 253.0 259.1 
Smokey_Robinson/tNLuUGUE_c8_0000012 260.6 270.6 
Smokey_Robinson/tNLuUGUE_c8_0000013 301.4 306.7 
Smokey_Robinson/tNLuUGUE_c8_0000014 330.6 335.1 
Smokey_Robinson/tNLuUGUE_c8_0000015 371.5 376.5 
Smokey_Robinson/tNLuUGUE_c8_0000016 386.0 396.0 
Smokey_Robinson/tNLuUGUE_c8_0000017 396.6 400.8 
Smokey_Robinson/tNLuUGUE_c8_0000018 425.0 439.1 
Smokey_Robinson/tNLuUGUE_c8_0000019 442.0 458.7 
Smokey_Robinson/tNLuUGUE_c8_0000020 460.4 484.9 
Smokey_Robinson/tNLuUGUE_c8_0000021 485.8 492.3 
Smokey_Robinson/tNLuUGUE_c8_0000022 489.8 496.9 
Smokey_Robinson/tNLuUGUE_c8_0000023 497.7 506.2 
Smokey_Robinson/tNLuUGUE_c8_0000024 507.0 527.1 
Smokey_Robinson/tNLuUGUE_c8_0000025 525.4 534.8 
Smokey_Robinson/tNLuUGUE_c8_0000026 535.6 557.9 
Smokey_Robinson/tNLuUGUE_c8_0000027 559.1 564.6 
Smokey_Robinson/tNLuUGUE_c8_0000028 582.7 600.1 
Smokey_Robinson/tNLuUGUE_c8_0000029 604.8 614.0 
Smokey_Robinson/tNLuUGUE_c8_0000030 614.3 624.1 
Smokey_Robinson/tNLuUGUE_c8_0000031 630.5 634.6 
Smokey_Robinson/tNLuUGUE_c8_0000032 634.9 640.8 
Smokey_Robinson/tNLuUGUE_c8_0000033 657.4 669.9 
Smokey_Robinson/tNLuUGUE_c8_0000034 670.4 688.5 
Smokey_Robinson/tNLuUGUE_c8_0000035 688.7 699.8 
Smokey_Robinson/tNLuUGUE_c8_0000036 703.4 712.4 
Smokey_Robinson/tNLuUGUE_c8_0000037 717.0 738.3 
Smokey_Robinson/tNLuUGUE_c8_0000038 738.6 743.6 
Smokey_Robinson/tNLuUGUE_c8_0000039 1139.5 1143.8 
Smokey_Robinson/tNLuUGUE_c8_0000040 1144.5 1152.8 
Smokey_Robinson/tNLuUGUE_c8_0000041 1153.0 1166.6 
