POI: 			Smokey_Robinson 
Youtube ID: 	oOGfyKHy4O8 
Video length: 	448.0 sec 
Set (V): 		dev 
 
Smokey_Robinson/oOGfyKHy4O8_0000001 10.5 16.8 
Smokey_Robinson/oOGfyKHy4O8_0000002 24.5 37.2 
Smokey_Robinson/oOGfyKHy4O8_0000003 46.6 54.7 
Smokey_Robinson/oOGfyKHy4O8_0000004 71.2 84.8 
Smokey_Robinson/oOGfyKHy4O8_0000005 85.0 93.2 
Smokey_Robinson/oOGfyKHy4O8_0000006 117.8 131.1 
Smokey_Robinson/oOGfyKHy4O8_0000007 152.6 156.8 
Smokey_Robinson/oOGfyKHy4O8_0000008 157.2 162.8 
Smokey_Robinson/oOGfyKHy4O8_0000009 187.8 193.7 
Smokey_Robinson/oOGfyKHy4O8_0000010 197.9 218.2 
Smokey_Robinson/oOGfyKHy4O8_0000011 227.9 245.6 
Smokey_Robinson/oOGfyKHy4O8_0000012 255.8 266.3 
Smokey_Robinson/oOGfyKHy4O8_0000013 296.7 308.0 
Smokey_Robinson/oOGfyKHy4O8_0000014 308.3 312.4 
Smokey_Robinson/oOGfyKHy4O8_0000015 330.2 344.3 
Smokey_Robinson/oOGfyKHy4O8_0000016 344.8 351.2 
Smokey_Robinson/oOGfyKHy4O8_0000017 382.2 395.0 
Smokey_Robinson/oOGfyKHy4O8_0000018 395.7 402.1 
Smokey_Robinson/oOGfyKHy4O8_0000019 405.0 411.9 
