POI: 			Amitabh_Bachchan 
Youtube ID: 	bwpDvDAnWn0 
Video length: 	1199.9 sec 
Set (V): 		dev 
 
Amitabh_Bachchan/bwpDvDAnWn0_0000001 34.5 51.1 
Amitabh_Bachchan/bwpDvDAnWn0_0000002 51.9 59.9 
Amitabh_Bachchan/bwpDvDAnWn0_0000003 65.2 71.0 
Amitabh_Bachchan/bwpDvDAnWn0_0000004 71.4 75.5 
Amitabh_Bachchan/bwpDvDAnWn0_0000005 77.4 87.0 
Amitabh_Bachchan/bwpDvDAnWn0_0000006 112.8 125.1 
Amitabh_Bachchan/bwpDvDAnWn0_0000007 126.9 130.8 
Amitabh_Bachchan/bwpDvDAnWn0_0000008 132.8 140.9 
Amitabh_Bachchan/bwpDvDAnWn0_0000009 146.3 150.4 
Amitabh_Bachchan/bwpDvDAnWn0_0000010 203.8 213.2 
Amitabh_Bachchan/bwpDvDAnWn0_0000011 214.0 218.1 
Amitabh_Bachchan/bwpDvDAnWn0_0000012 226.7 230.9 
Amitabh_Bachchan/bwpDvDAnWn0_0000013 236.5 242.1 
Amitabh_Bachchan/bwpDvDAnWn0_0000014 261.1 265.3 
Amitabh_Bachchan/bwpDvDAnWn0_0000015 292.9 297.5 
Amitabh_Bachchan/bwpDvDAnWn0_0000016 308.8 313.8 
Amitabh_Bachchan/bwpDvDAnWn0_0000017 324.6 330.1 
Amitabh_Bachchan/bwpDvDAnWn0_0000018 374.4 378.6 
Amitabh_Bachchan/bwpDvDAnWn0_0000019 391.2 404.9 
Amitabh_Bachchan/bwpDvDAnWn0_0000020 416.8 427.0 
Amitabh_Bachchan/bwpDvDAnWn0_0000021 431.1 436.6 
Amitabh_Bachchan/bwpDvDAnWn0_0000022 478.0 482.8 
Amitabh_Bachchan/bwpDvDAnWn0_0000023 486.7 497.2 
Amitabh_Bachchan/bwpDvDAnWn0_0000024 509.0 517.2 
Amitabh_Bachchan/bwpDvDAnWn0_0000025 517.9 522.2 
Amitabh_Bachchan/bwpDvDAnWn0_0000026 542.4 559.6 
Amitabh_Bachchan/bwpDvDAnWn0_0000027 574.1 582.6 
Amitabh_Bachchan/bwpDvDAnWn0_0000028 602.2 607.0 
Amitabh_Bachchan/bwpDvDAnWn0_0000029 607.4 612.0 
Amitabh_Bachchan/bwpDvDAnWn0_0000030 631.5 639.3 
Amitabh_Bachchan/bwpDvDAnWn0_0000031 679.4 683.4 
Amitabh_Bachchan/bwpDvDAnWn0_0000032 716.2 720.2 
Amitabh_Bachchan/bwpDvDAnWn0_0000033 756.0 765.0 
Amitabh_Bachchan/bwpDvDAnWn0_0000034 766.0 781.4 
Amitabh_Bachchan/bwpDvDAnWn0_0000035 799.7 804.2 
Amitabh_Bachchan/bwpDvDAnWn0_0000036 859.0 872.2 
Amitabh_Bachchan/bwpDvDAnWn0_0000037 873.5 886.2 
Amitabh_Bachchan/bwpDvDAnWn0_0000038 887.1 895.5 
Amitabh_Bachchan/bwpDvDAnWn0_0000039 895.6 903.7 
Amitabh_Bachchan/bwpDvDAnWn0_0000040 925.4 929.5 
Amitabh_Bachchan/bwpDvDAnWn0_0000041 929.8 933.8 
Amitabh_Bachchan/bwpDvDAnWn0_0000042 972.5 980.9 
Amitabh_Bachchan/bwpDvDAnWn0_0000043 1000.3 1005.2 
Amitabh_Bachchan/bwpDvDAnWn0_0000044 1013.8 1026.3 
Amitabh_Bachchan/bwpDvDAnWn0_0000045 1028.3 1036.9 
Amitabh_Bachchan/bwpDvDAnWn0_0000046 1040.0 1046.1 
Amitabh_Bachchan/bwpDvDAnWn0_0000047 1047.6 1052.0 
Amitabh_Bachchan/bwpDvDAnWn0_0000048 1064.7 1074.7 
Amitabh_Bachchan/bwpDvDAnWn0_0000049 1090.6 1095.4 
Amitabh_Bachchan/bwpDvDAnWn0_0000050 1107.9 1116.8 
Amitabh_Bachchan/bwpDvDAnWn0_0000051 1125.8 1130.1 
Amitabh_Bachchan/bwpDvDAnWn0_0000052 1132.7 1137.2 
