POI: 			Amitabh_Bachchan 
Youtube ID: 	FdYLFLTY-5Q 
Video length: 	1204.4 sec 
Set (V): 		dev 
 
Amitabh_Bachchan/FdYLFLTY-5Q_0000001 40.3 52.0 
Amitabh_Bachchan/FdYLFLTY-5Q_0000002 57.9 67.4 
Amitabh_Bachchan/FdYLFLTY-5Q_0000003 68.0 78.4 
Amitabh_Bachchan/FdYLFLTY-5Q_0000004 80.5 89.9 
Amitabh_Bachchan/FdYLFLTY-5Q_0000005 128.6 134.2 
Amitabh_Bachchan/FdYLFLTY-5Q_0000006 138.2 142.7 
Amitabh_Bachchan/FdYLFLTY-5Q_0000007 142.9 152.3 
Amitabh_Bachchan/FdYLFLTY-5Q_0000008 153.1 158.7 
Amitabh_Bachchan/FdYLFLTY-5Q_0000009 206.7 216.2 
Amitabh_Bachchan/FdYLFLTY-5Q_0000010 239.4 245.3 
Amitabh_Bachchan/FdYLFLTY-5Q_0000011 251.0 268.3 
Amitabh_Bachchan/FdYLFLTY-5Q_0000012 295.6 300.6 
Amitabh_Bachchan/FdYLFLTY-5Q_0000013 338.7 345.2 
Amitabh_Bachchan/FdYLFLTY-5Q_0000014 372.7 377.2 
Amitabh_Bachchan/FdYLFLTY-5Q_0000015 393.8 407.7 
Amitabh_Bachchan/FdYLFLTY-5Q_0000016 420.0 427.0 
Amitabh_Bachchan/FdYLFLTY-5Q_0000017 434.2 439.7 
Amitabh_Bachchan/FdYLFLTY-5Q_0000018 481.1 487.5 
Amitabh_Bachchan/FdYLFLTY-5Q_0000019 489.6 500.2 
Amitabh_Bachchan/FdYLFLTY-5Q_0000020 502.0 508.6 
Amitabh_Bachchan/FdYLFLTY-5Q_0000021 512.0 520.2 
Amitabh_Bachchan/FdYLFLTY-5Q_0000022 520.4 524.8 
Amitabh_Bachchan/FdYLFLTY-5Q_0000023 527.3 535.2 
Amitabh_Bachchan/FdYLFLTY-5Q_0000024 535.8 564.1 
Amitabh_Bachchan/FdYLFLTY-5Q_0000025 568.9 572.9 
Amitabh_Bachchan/FdYLFLTY-5Q_0000026 577.1 584.2 
Amitabh_Bachchan/FdYLFLTY-5Q_0000027 659.7 664.7 
Amitabh_Bachchan/FdYLFLTY-5Q_0000028 707.6 711.9 
Amitabh_Bachchan/FdYLFLTY-5Q_0000029 712.4 717.9 
Amitabh_Bachchan/FdYLFLTY-5Q_0000030 784.4 809.9 
Amitabh_Bachchan/FdYLFLTY-5Q_0000031 828.1 832.4 
Amitabh_Bachchan/FdYLFLTY-5Q_0000032 887.5 897.2 
Amitabh_Bachchan/FdYLFLTY-5Q_0000033 901.2 910.9 
Amitabh_Bachchan/FdYLFLTY-5Q_0000034 917.6 924.0 
Amitabh_Bachchan/FdYLFLTY-5Q_0000035 924.1 934.2 
Amitabh_Bachchan/FdYLFLTY-5Q_0000036 952.4 957.2 
Amitabh_Bachchan/FdYLFLTY-5Q_0000037 1004.0 1009.6 
Amitabh_Bachchan/FdYLFLTY-5Q_0000038 1021.5 1026.6 
Amitabh_Bachchan/FdYLFLTY-5Q_0000039 1028.8 1033.8 
Amitabh_Bachchan/FdYLFLTY-5Q_0000040 1034.8 1040.0 
Amitabh_Bachchan/FdYLFLTY-5Q_0000041 1042.1 1046.5 
Amitabh_Bachchan/FdYLFLTY-5Q_0000042 1047.4 1054.8 
Amitabh_Bachchan/FdYLFLTY-5Q_0000043 1059.8 1065.3 
Amitabh_Bachchan/FdYLFLTY-5Q_0000044 1068.3 1074.5 
Amitabh_Bachchan/FdYLFLTY-5Q_0000045 1076.3 1080.4 
Amitabh_Bachchan/FdYLFLTY-5Q_0000046 1093.0 1100.2 
Amitabh_Bachchan/FdYLFLTY-5Q_0000047 1109.8 1115.2 
Amitabh_Bachchan/FdYLFLTY-5Q_0000048 1116.2 1123.1 
Amitabh_Bachchan/FdYLFLTY-5Q_0000049 1139.0 1145.0 
Amitabh_Bachchan/FdYLFLTY-5Q_0000050 1145.9 1150.2 
Amitabh_Bachchan/FdYLFLTY-5Q_0000051 1153.9 1158.4 
