POI: 			Amitabh_Bachchan 
Youtube ID: 	c6Od_AIDt0Y 
Video length: 	3640.6 sec 
Set (V): 		dev 
 
Amitabh_Bachchan/c6Od_AIDt0Y_0000001 642.2 647.8 
Amitabh_Bachchan/c6Od_AIDt0Y_0000002 936.6 940.8 
Amitabh_Bachchan/c6Od_AIDt0Y_0000003 1549.4 1555.8 
Amitabh_Bachchan/c6Od_AIDt0Y_0000004 1556.0 1560.5 
Amitabh_Bachchan/c6Od_AIDt0Y_0000005 1564.8 1569.6 
Amitabh_Bachchan/c6Od_AIDt0Y_0000006 1575.1 1580.4 
Amitabh_Bachchan/c6Od_AIDt0Y_0000007 1581.2 1588.0 
Amitabh_Bachchan/c6Od_AIDt0Y_0000008 1597.0 1602.7 
Amitabh_Bachchan/c6Od_AIDt0Y_0000009 1604.0 1608.7 
Amitabh_Bachchan/c6Od_AIDt0Y_0000010 1614.9 1619.9 
Amitabh_Bachchan/c6Od_AIDt0Y_0000011 1643.9 1650.5 
Amitabh_Bachchan/c6Od_AIDt0Y_0000012 1653.4 1660.0 
Amitabh_Bachchan/c6Od_AIDt0Y_0000013 1675.8 1679.7 
Amitabh_Bachchan/c6Od_AIDt0Y_0000014 1680.0 1686.1 
Amitabh_Bachchan/c6Od_AIDt0Y_0000015 1719.6 1725.8 
Amitabh_Bachchan/c6Od_AIDt0Y_0000016 1730.6 1734.7 
Amitabh_Bachchan/c6Od_AIDt0Y_0000017 1735.0 1739.7 
Amitabh_Bachchan/c6Od_AIDt0Y_0000018 1745.2 1750.4 
Amitabh_Bachchan/c6Od_AIDt0Y_0000019 1755.8 1766.0 
Amitabh_Bachchan/c6Od_AIDt0Y_0000020 1767.4 1774.3 
Amitabh_Bachchan/c6Od_AIDt0Y_0000021 1785.5 1790.0 
Amitabh_Bachchan/c6Od_AIDt0Y_0000022 1796.9 1802.8 
Amitabh_Bachchan/c6Od_AIDt0Y_0000023 1806.4 1812.6 
Amitabh_Bachchan/c6Od_AIDt0Y_0000024 1872.6 1876.8 
Amitabh_Bachchan/c6Od_AIDt0Y_0000025 1937.5 1943.0 
Amitabh_Bachchan/c6Od_AIDt0Y_0000026 1948.5 1952.7 
Amitabh_Bachchan/c6Od_AIDt0Y_0000027 1958.7 1962.9 
Amitabh_Bachchan/c6Od_AIDt0Y_0000028 1972.9 1981.5 
Amitabh_Bachchan/c6Od_AIDt0Y_0000029 2043.7 2049.3 
Amitabh_Bachchan/c6Od_AIDt0Y_0000030 2068.6 2076.8 
Amitabh_Bachchan/c6Od_AIDt0Y_0000031 2130.6 2143.1 
Amitabh_Bachchan/c6Od_AIDt0Y_0000032 2182.4 2188.4 
Amitabh_Bachchan/c6Od_AIDt0Y_0000033 2196.5 2201.7 
Amitabh_Bachchan/c6Od_AIDt0Y_0000034 2271.0 2279.9 
Amitabh_Bachchan/c6Od_AIDt0Y_0000035 2293.7 2298.9 
Amitabh_Bachchan/c6Od_AIDt0Y_0000036 2359.9 2366.9 
Amitabh_Bachchan/c6Od_AIDt0Y_0000037 2369.8 2379.0 
Amitabh_Bachchan/c6Od_AIDt0Y_0000038 2396.4 2407.5 
Amitabh_Bachchan/c6Od_AIDt0Y_0000039 2469.8 2476.0 
Amitabh_Bachchan/c6Od_AIDt0Y_0000040 2476.6 2483.1 
Amitabh_Bachchan/c6Od_AIDt0Y_0000041 2535.6 2541.1 
Amitabh_Bachchan/c6Od_AIDt0Y_0000042 2622.6 2629.7 
Amitabh_Bachchan/c6Od_AIDt0Y_0000043 2648.2 2654.4 
Amitabh_Bachchan/c6Od_AIDt0Y_0000044 2657.6 2664.0 
Amitabh_Bachchan/c6Od_AIDt0Y_0000045 2664.4 2669.9 
Amitabh_Bachchan/c6Od_AIDt0Y_0000046 2718.8 2727.0 
Amitabh_Bachchan/c6Od_AIDt0Y_0000047 2747.5 2751.6 
Amitabh_Bachchan/c6Od_AIDt0Y_0000048 2794.5 2803.8 
Amitabh_Bachchan/c6Od_AIDt0Y_0000049 2804.5 2811.3 
Amitabh_Bachchan/c6Od_AIDt0Y_0000050 2822.2 2827.4 
Amitabh_Bachchan/c6Od_AIDt0Y_0000051 2872.6 2879.9 
Amitabh_Bachchan/c6Od_AIDt0Y_0000052 2883.6 2892.8 
Amitabh_Bachchan/c6Od_AIDt0Y_0000053 2896.0 2903.4 
Amitabh_Bachchan/c6Od_AIDt0Y_0000054 2908.6 2913.3 
Amitabh_Bachchan/c6Od_AIDt0Y_0000055 2988.8 2993.8 
Amitabh_Bachchan/c6Od_AIDt0Y_0000056 3001.7 3008.2 
Amitabh_Bachchan/c6Od_AIDt0Y_0000057 3010.6 3015.8 
Amitabh_Bachchan/c6Od_AIDt0Y_0000058 3016.6 3022.4 
Amitabh_Bachchan/c6Od_AIDt0Y_0000059 3025.1 3032.6 
Amitabh_Bachchan/c6Od_AIDt0Y_0000060 3033.6 3038.9 
Amitabh_Bachchan/c6Od_AIDt0Y_0000061 3083.1 3087.8 
Amitabh_Bachchan/c6Od_AIDt0Y_0000062 3199.3 3205.8 
Amitabh_Bachchan/c6Od_AIDt0Y_0000063 3259.5 3266.9 
Amitabh_Bachchan/c6Od_AIDt0Y_0000064 3268.9 3274.7 
Amitabh_Bachchan/c6Od_AIDt0Y_0000065 3290.2 3298.2 
Amitabh_Bachchan/c6Od_AIDt0Y_0000066 3372.6 3377.5 
Amitabh_Bachchan/c6Od_AIDt0Y_0000067 3378.1 3383.7 
Amitabh_Bachchan/c6Od_AIDt0Y_0000068 3386.7 3390.8 
Amitabh_Bachchan/c6Od_AIDt0Y_0000069 3408.8 3415.5 
Amitabh_Bachchan/c6Od_AIDt0Y_0000070 3468.9 3474.2 
