POI: 			Shonda_Rhimes 
Youtube ID: 	Q0YU_S7jFhA 
Video length: 	5083.8 sec 
Set (V): 		dev 
 
Shonda_Rhimes/Q0YU_S7jFhA_0000001 50.5 76.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000002 129.7 139.3 
Shonda_Rhimes/Q0YU_S7jFhA_0000003 143.8 154.7 
Shonda_Rhimes/Q0YU_S7jFhA_0000004 191.0 198.2 
Shonda_Rhimes/Q0YU_S7jFhA_0000005 199.2 211.5 
Shonda_Rhimes/Q0YU_S7jFhA_0000006 212.2 229.4 
Shonda_Rhimes/Q0YU_S7jFhA_0000007 231.9 241.6 
Shonda_Rhimes/Q0YU_S7jFhA_0000008 294.8 304.8 
Shonda_Rhimes/Q0YU_S7jFhA_0000009 309.7 329.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000010 352.9 357.6 
Shonda_Rhimes/Q0YU_S7jFhA_0000011 358.0 369.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000012 369.2 375.9 
Shonda_Rhimes/Q0YU_S7jFhA_0000013 380.8 385.2 
Shonda_Rhimes/Q0YU_S7jFhA_0000014 390.3 398.2 
Shonda_Rhimes/Q0YU_S7jFhA_0000015 441.2 445.7 
Shonda_Rhimes/Q0YU_S7jFhA_0000016 446.8 452.9 
Shonda_Rhimes/Q0YU_S7jFhA_0000017 453.4 462.3 
Shonda_Rhimes/Q0YU_S7jFhA_0000018 467.5 476.2 
Shonda_Rhimes/Q0YU_S7jFhA_0000019 496.4 500.8 
Shonda_Rhimes/Q0YU_S7jFhA_0000020 503.0 508.7 
Shonda_Rhimes/Q0YU_S7jFhA_0000021 515.0 519.6 
Shonda_Rhimes/Q0YU_S7jFhA_0000022 520.5 545.8 
Shonda_Rhimes/Q0YU_S7jFhA_0000023 551.8 555.9 
Shonda_Rhimes/Q0YU_S7jFhA_0000024 598.9 603.6 
Shonda_Rhimes/Q0YU_S7jFhA_0000025 606.4 610.7 
Shonda_Rhimes/Q0YU_S7jFhA_0000026 610.9 616.2 
Shonda_Rhimes/Q0YU_S7jFhA_0000027 620.7 628.6 
Shonda_Rhimes/Q0YU_S7jFhA_0000028 705.1 713.1 
Shonda_Rhimes/Q0YU_S7jFhA_0000029 717.9 722.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000030 723.0 732.3 
Shonda_Rhimes/Q0YU_S7jFhA_0000031 746.2 759.4 
Shonda_Rhimes/Q0YU_S7jFhA_0000032 784.7 806.7 
Shonda_Rhimes/Q0YU_S7jFhA_0000033 807.6 822.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000034 914.6 919.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000035 923.3 948.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000036 998.8 1008.6 
Shonda_Rhimes/Q0YU_S7jFhA_0000037 1014.5 1025.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000038 1060.2 1064.4 
Shonda_Rhimes/Q0YU_S7jFhA_0000039 1069.8 1080.7 
Shonda_Rhimes/Q0YU_S7jFhA_0000040 1139.2 1167.7 
Shonda_Rhimes/Q0YU_S7jFhA_0000041 1180.3 1201.2 
Shonda_Rhimes/Q0YU_S7jFhA_0000042 1280.2 1289.3 
Shonda_Rhimes/Q0YU_S7jFhA_0000043 1381.8 1388.9 
Shonda_Rhimes/Q0YU_S7jFhA_0000044 1407.1 1413.6 
Shonda_Rhimes/Q0YU_S7jFhA_0000045 1419.3 1439.6 
Shonda_Rhimes/Q0YU_S7jFhA_0000046 1445.0 1452.7 
Shonda_Rhimes/Q0YU_S7jFhA_0000047 1455.0 1460.3 
Shonda_Rhimes/Q0YU_S7jFhA_0000048 1460.9 1476.6 
Shonda_Rhimes/Q0YU_S7jFhA_0000049 1478.7 1484.6 
Shonda_Rhimes/Q0YU_S7jFhA_0000050 1503.4 1508.1 
Shonda_Rhimes/Q0YU_S7jFhA_0000051 1508.5 1537.4 
Shonda_Rhimes/Q0YU_S7jFhA_0000052 1538.8 1545.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000053 1547.4 1554.0 
Shonda_Rhimes/Q0YU_S7jFhA_0000054 1572.8 1576.9 
Shonda_Rhimes/Q0YU_S7jFhA_0000055 1578.4 1589.0 
