POI: 			Shonda_Rhimes 
Youtube ID: 	DutYuq39XEE 
Video length: 	2434.2 sec 
Set (V): 		dev 
 
Shonda_Rhimes/DutYuq39XEE_0000001 59.3 63.8 
Shonda_Rhimes/DutYuq39XEE_0000002 69.6 75.3 
Shonda_Rhimes/DutYuq39XEE_0000003 79.9 84.2 
Shonda_Rhimes/DutYuq39XEE_0000004 97.1 104.3 
Shonda_Rhimes/DutYuq39XEE_0000005 108.7 112.8 
Shonda_Rhimes/DutYuq39XEE_0000006 116.4 122.3 
Shonda_Rhimes/DutYuq39XEE_0000007 129.9 135.6 
Shonda_Rhimes/DutYuq39XEE_0000008 139.0 145.9 
Shonda_Rhimes/DutYuq39XEE_0000009 150.1 156.8 
Shonda_Rhimes/DutYuq39XEE_0000010 159.8 166.1 
Shonda_Rhimes/DutYuq39XEE_0000011 170.4 187.4 
Shonda_Rhimes/DutYuq39XEE_0000012 195.3 199.4 
Shonda_Rhimes/DutYuq39XEE_0000013 208.4 216.2 
Shonda_Rhimes/DutYuq39XEE_0000014 219.8 224.2 
Shonda_Rhimes/DutYuq39XEE_0000015 225.9 232.5 
Shonda_Rhimes/DutYuq39XEE_0000016 238.7 243.1 
Shonda_Rhimes/DutYuq39XEE_0000017 244.0 271.4 
Shonda_Rhimes/DutYuq39XEE_0000018 407.8 415.8 
Shonda_Rhimes/DutYuq39XEE_0000019 433.6 440.9 
Shonda_Rhimes/DutYuq39XEE_0000020 446.2 451.0 
Shonda_Rhimes/DutYuq39XEE_0000021 465.2 485.2 
Shonda_Rhimes/DutYuq39XEE_0000022 487.3 491.7 
Shonda_Rhimes/DutYuq39XEE_0000023 500.7 512.1 
Shonda_Rhimes/DutYuq39XEE_0000024 525.7 533.3 
Shonda_Rhimes/DutYuq39XEE_0000025 582.0 588.1 
Shonda_Rhimes/DutYuq39XEE_0000026 619.7 628.5 
Shonda_Rhimes/DutYuq39XEE_0000027 678.8 683.9 
Shonda_Rhimes/DutYuq39XEE_0000028 764.2 777.2 
Shonda_Rhimes/DutYuq39XEE_0000029 819.0 825.2 
Shonda_Rhimes/DutYuq39XEE_0000030 829.6 835.4 
Shonda_Rhimes/DutYuq39XEE_0000031 853.3 858.0 
Shonda_Rhimes/DutYuq39XEE_0000032 870.2 874.8 
Shonda_Rhimes/DutYuq39XEE_0000033 875.1 879.1 
Shonda_Rhimes/DutYuq39XEE_0000034 881.5 886.6 
Shonda_Rhimes/DutYuq39XEE_0000035 924.8 930.0 
Shonda_Rhimes/DutYuq39XEE_0000036 933.5 940.0 
Shonda_Rhimes/DutYuq39XEE_0000037 949.6 953.7 
Shonda_Rhimes/DutYuq39XEE_0000038 987.1 994.4 
Shonda_Rhimes/DutYuq39XEE_0000039 1000.9 1018.1 
Shonda_Rhimes/DutYuq39XEE_0000040 1050.2 1056.7 
Shonda_Rhimes/DutYuq39XEE_0000041 1058.4 1063.0 
Shonda_Rhimes/DutYuq39XEE_0000042 1130.2 1142.6 
Shonda_Rhimes/DutYuq39XEE_0000043 1160.0 1166.0 
Shonda_Rhimes/DutYuq39XEE_0000044 1168.0 1174.3 
Shonda_Rhimes/DutYuq39XEE_0000045 1274.2 1278.6 
Shonda_Rhimes/DutYuq39XEE_0000046 1310.0 1315.6 
Shonda_Rhimes/DutYuq39XEE_0000047 1439.9 1444.8 
Shonda_Rhimes/DutYuq39XEE_0000048 1508.3 1512.8 
Shonda_Rhimes/DutYuq39XEE_0000049 1514.4 1518.8 
Shonda_Rhimes/DutYuq39XEE_0000050 1628.4 1632.5 
Shonda_Rhimes/DutYuq39XEE_0000051 1696.8 1701.2 
Shonda_Rhimes/DutYuq39XEE_0000052 1933.3 1938.8 
Shonda_Rhimes/DutYuq39XEE_0000053 2091.2 2095.2 
Shonda_Rhimes/DutYuq39XEE_0000054 2188.9 2193.6 
Shonda_Rhimes/DutYuq39XEE_0000055 2281.0 2287.4 
Shonda_Rhimes/DutYuq39XEE_0000056 2395.1 2399.3 
