POI: 			Ricky_Gervais 
Youtube ID: 	gNnNpOn_dV0 
Video length: 	1451.7 sec 
Set (V): 		dev 
 
Ricky_Gervais/gNnNpOn_dV0_0000001 11.6 17.6 
Ricky_Gervais/gNnNpOn_dV0_0000002 18.8 26.8 
Ricky_Gervais/gNnNpOn_dV0_0000003 27.4 32.7 
Ricky_Gervais/gNnNpOn_dV0_0000004 42.0 47.9 
Ricky_Gervais/gNnNpOn_dV0_0000005 64.8 71.5 
Ricky_Gervais/gNnNpOn_dV0_0000006 72.9 90.4 
Ricky_Gervais/gNnNpOn_dV0_0000007 91.5 98.9 
Ricky_Gervais/gNnNpOn_dV0_0000008 101.4 106.6 
Ricky_Gervais/gNnNpOn_dV0_0000009 112.8 118.2 
Ricky_Gervais/gNnNpOn_dV0_0000010 123.1 133.4 
Ricky_Gervais/gNnNpOn_dV0_0000011 133.6 146.3 
Ricky_Gervais/gNnNpOn_dV0_0000012 157.4 162.9 
Ricky_Gervais/gNnNpOn_dV0_0000013 179.9 183.9 
Ricky_Gervais/gNnNpOn_dV0_0000014 184.6 189.1 
Ricky_Gervais/gNnNpOn_dV0_0000015 192.8 201.9 
Ricky_Gervais/gNnNpOn_dV0_0000016 210.8 216.4 
Ricky_Gervais/gNnNpOn_dV0_0000017 218.1 229.1 
Ricky_Gervais/gNnNpOn_dV0_0000018 229.7 238.4 
Ricky_Gervais/gNnNpOn_dV0_0000019 248.7 262.6 
Ricky_Gervais/gNnNpOn_dV0_0000020 279.2 288.9 
Ricky_Gervais/gNnNpOn_dV0_0000021 292.3 304.8 
Ricky_Gervais/gNnNpOn_dV0_0000022 306.3 315.8 
Ricky_Gervais/gNnNpOn_dV0_0000023 321.0 326.7 
Ricky_Gervais/gNnNpOn_dV0_0000024 327.0 339.0 
Ricky_Gervais/gNnNpOn_dV0_0000025 345.1 351.3 
Ricky_Gervais/gNnNpOn_dV0_0000026 352.3 356.3 
Ricky_Gervais/gNnNpOn_dV0_0000027 399.6 409.6 
Ricky_Gervais/gNnNpOn_dV0_0000028 414.5 428.5 
Ricky_Gervais/gNnNpOn_dV0_0000029 434.3 439.5 
Ricky_Gervais/gNnNpOn_dV0_0000030 440.2 448.1 
Ricky_Gervais/gNnNpOn_dV0_0000031 451.6 456.7 
Ricky_Gervais/gNnNpOn_dV0_0000032 484.4 489.4 
Ricky_Gervais/gNnNpOn_dV0_0000033 490.5 499.8 
Ricky_Gervais/gNnNpOn_dV0_0000034 507.0 511.2 
Ricky_Gervais/gNnNpOn_dV0_0000035 513.9 521.4 
Ricky_Gervais/gNnNpOn_dV0_0000036 521.5 525.8 
Ricky_Gervais/gNnNpOn_dV0_0000037 527.9 536.8 
Ricky_Gervais/gNnNpOn_dV0_0000038 579.2 584.0 
Ricky_Gervais/gNnNpOn_dV0_0000039 585.3 596.8 
Ricky_Gervais/gNnNpOn_dV0_0000040 597.0 603.8 
Ricky_Gervais/gNnNpOn_dV0_0000041 613.7 618.8 
Ricky_Gervais/gNnNpOn_dV0_0000042 619.1 625.0 
Ricky_Gervais/gNnNpOn_dV0_0000043 644.5 652.8 
Ricky_Gervais/gNnNpOn_dV0_0000044 653.0 658.1 
Ricky_Gervais/gNnNpOn_dV0_0000045 673.6 680.5 
Ricky_Gervais/gNnNpOn_dV0_0000046 682.4 690.6 
Ricky_Gervais/gNnNpOn_dV0_0000047 691.6 696.4 
Ricky_Gervais/gNnNpOn_dV0_0000048 700.1 707.0 
Ricky_Gervais/gNnNpOn_dV0_0000049 729.0 750.3 
Ricky_Gervais/gNnNpOn_dV0_0000050 770.7 777.4 
Ricky_Gervais/gNnNpOn_dV0_0000051 786.6 794.6 
Ricky_Gervais/gNnNpOn_dV0_0000052 795.2 805.4 
Ricky_Gervais/gNnNpOn_dV0_0000053 805.5 811.0 
Ricky_Gervais/gNnNpOn_dV0_0000054 812.5 823.1 
Ricky_Gervais/gNnNpOn_dV0_0000055 823.7 828.8 
Ricky_Gervais/gNnNpOn_dV0_0000056 859.2 863.5 
Ricky_Gervais/gNnNpOn_dV0_0000057 868.8 873.8 
Ricky_Gervais/gNnNpOn_dV0_0000058 874.9 884.4 
Ricky_Gervais/gNnNpOn_dV0_0000059 884.6 891.9 
Ricky_Gervais/gNnNpOn_dV0_0000060 896.5 900.6 
Ricky_Gervais/gNnNpOn_dV0_0000061 902.1 908.4 
Ricky_Gervais/gNnNpOn_dV0_0000062 932.7 950.5 
Ricky_Gervais/gNnNpOn_dV0_0000063 965.1 969.8 
Ricky_Gervais/gNnNpOn_dV0_0000064 974.6 994.7 
Ricky_Gervais/gNnNpOn_dV0_0000065 1004.6 1010.2 
Ricky_Gervais/gNnNpOn_dV0_0000066 1011.0 1015.4 
Ricky_Gervais/gNnNpOn_dV0_0000067 1015.9 1025.1 
Ricky_Gervais/gNnNpOn_dV0_0000068 1042.2 1046.9 
Ricky_Gervais/gNnNpOn_dV0_0000069 1049.0 1055.2 
Ricky_Gervais/gNnNpOn_dV0_0000070 1056.1 1060.6 
Ricky_Gervais/gNnNpOn_dV0_0000071 1067.6 1081.0 
Ricky_Gervais/gNnNpOn_dV0_0000072 1111.8 1128.5 
Ricky_Gervais/gNnNpOn_dV0_0000073 1129.0 1136.4 
Ricky_Gervais/gNnNpOn_dV0_0000074 1137.4 1141.8 
Ricky_Gervais/gNnNpOn_dV0_0000075 1142.9 1150.6 
Ricky_Gervais/gNnNpOn_dV0_0000076 1156.5 1160.7 
Ricky_Gervais/gNnNpOn_dV0_0000077 1165.6 1169.5 
Ricky_Gervais/gNnNpOn_dV0_0000078 1193.6 1197.9 
Ricky_Gervais/gNnNpOn_dV0_0000079 1207.6 1213.2 
Ricky_Gervais/gNnNpOn_dV0_0000080 1214.2 1222.1 
Ricky_Gervais/gNnNpOn_dV0_0000081 1228.9 1238.8 
Ricky_Gervais/gNnNpOn_dV0_0000082 1239.0 1247.3 
Ricky_Gervais/gNnNpOn_dV0_0000083 1257.4 1262.2 
Ricky_Gervais/gNnNpOn_dV0_0000084 1273.8 1279.2 
Ricky_Gervais/gNnNpOn_dV0_0000085 1284.4 1289.0 
