POI: 			Ricky_Gervais 
Youtube ID: 	NIyV2QZ9a0M 
Video length: 	567.8 sec 
Set (V): 		dev 
 
Ricky_Gervais/NIyV2QZ9a0M_0000001 48.0 66.7 
Ricky_Gervais/NIyV2QZ9a0M_0000002 88.5 100.4 
Ricky_Gervais/NIyV2QZ9a0M_0000003 105.2 118.0 
Ricky_Gervais/NIyV2QZ9a0M_0000004 123.6 128.6 
Ricky_Gervais/NIyV2QZ9a0M_0000005 134.4 139.8 
Ricky_Gervais/NIyV2QZ9a0M_0000006 150.0 165.2 
Ricky_Gervais/NIyV2QZ9a0M_0000007 169.5 184.9 
Ricky_Gervais/NIyV2QZ9a0M_0000008 191.8 196.4 
Ricky_Gervais/NIyV2QZ9a0M_0000009 285.8 300.1 
Ricky_Gervais/NIyV2QZ9a0M_0000010 305.4 311.4 
Ricky_Gervais/NIyV2QZ9a0M_0000011 312.0 317.4 
Ricky_Gervais/NIyV2QZ9a0M_0000012 318.1 323.5 
Ricky_Gervais/NIyV2QZ9a0M_0000013 327.4 331.5 
Ricky_Gervais/NIyV2QZ9a0M_0000014 332.0 351.4 
Ricky_Gervais/NIyV2QZ9a0M_0000015 370.7 385.8 
Ricky_Gervais/NIyV2QZ9a0M_0000016 427.2 435.4 
Ricky_Gervais/NIyV2QZ9a0M_0000017 436.0 444.4 
Ricky_Gervais/NIyV2QZ9a0M_0000018 464.3 499.9 
Ricky_Gervais/NIyV2QZ9a0M_0000019 500.8 517.0 
Ricky_Gervais/NIyV2QZ9a0M_0000020 518.1 530.4 
Ricky_Gervais/NIyV2QZ9a0M_0000021 537.8 546.7 
