POI: 			Tilda_Swinton 
Youtube ID: 	Nq_jAjxvyLc 
Video length: 	420.5 sec 
Set (V): 		dev 
 
Tilda_Swinton/Nq_jAjxvyLc_0000001 10.8 19.4 
Tilda_Swinton/Nq_jAjxvyLc_0000002 24.4 29.2 
Tilda_Swinton/Nq_jAjxvyLc_0000003 41.0 49.8 
Tilda_Swinton/Nq_jAjxvyLc_0000004 50.2 55.5 
Tilda_Swinton/Nq_jAjxvyLc_0000005 58.0 75.7 
Tilda_Swinton/Nq_jAjxvyLc_0000006 83.2 90.4 
Tilda_Swinton/Nq_jAjxvyLc_0000007 90.9 97.0 
Tilda_Swinton/Nq_jAjxvyLc_0000008 97.0 118.4 
Tilda_Swinton/Nq_jAjxvyLc_0000009 118.9 123.9 
Tilda_Swinton/Nq_jAjxvyLc_0000010 126.4 137.4 
Tilda_Swinton/Nq_jAjxvyLc_0000011 149.4 156.6 
Tilda_Swinton/Nq_jAjxvyLc_0000012 157.8 162.6 
Tilda_Swinton/Nq_jAjxvyLc_0000013 163.5 170.2 
Tilda_Swinton/Nq_jAjxvyLc_0000014 177.4 189.5 
Tilda_Swinton/Nq_jAjxvyLc_0000015 191.6 200.6 
Tilda_Swinton/Nq_jAjxvyLc_0000016 201.3 206.6 
Tilda_Swinton/Nq_jAjxvyLc_0000017 228.0 236.7 
Tilda_Swinton/Nq_jAjxvyLc_0000018 248.5 254.2 
Tilda_Swinton/Nq_jAjxvyLc_0000019 264.5 269.1 
Tilda_Swinton/Nq_jAjxvyLc_0000020 275.0 279.2 
Tilda_Swinton/Nq_jAjxvyLc_0000021 286.5 302.7 
Tilda_Swinton/Nq_jAjxvyLc_0000022 311.4 318.5 
Tilda_Swinton/Nq_jAjxvyLc_0000023 329.8 339.1 
Tilda_Swinton/Nq_jAjxvyLc_0000024 342.5 348.1 
Tilda_Swinton/Nq_jAjxvyLc_0000025 356.1 361.1 
Tilda_Swinton/Nq_jAjxvyLc_0000026 367.3 378.6 
Tilda_Swinton/Nq_jAjxvyLc_0000027 379.9 392.7 
Tilda_Swinton/Nq_jAjxvyLc_0000028 394.8 399.1 
Tilda_Swinton/Nq_jAjxvyLc_0000029 399.9 407.2 
Tilda_Swinton/Nq_jAjxvyLc_0000030 407.5 412.0 
