POI: 			Kiefer_Sutherland 
Youtube ID: 	XEOOZZ0fIvg 
Video length: 	583.1 sec 
Set (V): 		dev 
 
Kiefer_Sutherland/XEOOZZ0fIvg_0000001 59.2 69.4 
Kiefer_Sutherland/XEOOZZ0fIvg_0000002 70.1 76.7 
Kiefer_Sutherland/XEOOZZ0fIvg_0000003 80.9 85.7 
Kiefer_Sutherland/XEOOZZ0fIvg_0000004 108.2 117.0 
Kiefer_Sutherland/XEOOZZ0fIvg_0000005 152.2 170.4 
Kiefer_Sutherland/XEOOZZ0fIvg_0000006 177.0 181.5 
Kiefer_Sutherland/XEOOZZ0fIvg_0000007 184.8 196.7 
Kiefer_Sutherland/XEOOZZ0fIvg_0000008 202.6 208.7 
Kiefer_Sutherland/XEOOZZ0fIvg_0000009 282.3 309.4 
Kiefer_Sutherland/XEOOZZ0fIvg_0000010 339.4 357.6 
Kiefer_Sutherland/XEOOZZ0fIvg_0000011 361.1 365.3 
Kiefer_Sutherland/XEOOZZ0fIvg_0000012 374.6 379.0 
Kiefer_Sutherland/XEOOZZ0fIvg_0000013 380.8 391.0 
Kiefer_Sutherland/XEOOZZ0fIvg_0000014 392.3 400.2 
Kiefer_Sutherland/XEOOZZ0fIvg_0000015 461.6 470.8 
Kiefer_Sutherland/XEOOZZ0fIvg_0000016 471.4 478.4 
Kiefer_Sutherland/XEOOZZ0fIvg_0000017 506.7 512.6 
