POI: 			John_Slattery 
Youtube ID: 	tSFgBTRF0CA 
Video length: 	557.1 sec 
Set (V): 		dev 
 
John_Slattery/tSFgBTRF0CA_0000001 22.2 28.7 
John_Slattery/tSFgBTRF0CA_0000002 29.7 42.6 
John_Slattery/tSFgBTRF0CA_0000003 61.7 76.7 
John_Slattery/tSFgBTRF0CA_0000004 78.0 85.0 
John_Slattery/tSFgBTRF0CA_0000005 88.2 97.8 
John_Slattery/tSFgBTRF0CA_0000006 113.9 119.1 
John_Slattery/tSFgBTRF0CA_0000007 119.5 135.8 
John_Slattery/tSFgBTRF0CA_0000008 165.3 177.1 
John_Slattery/tSFgBTRF0CA_0000009 177.6 187.5 
John_Slattery/tSFgBTRF0CA_0000010 201.4 216.7 
John_Slattery/tSFgBTRF0CA_0000011 221.1 226.1 
John_Slattery/tSFgBTRF0CA_0000012 239.8 247.2 
John_Slattery/tSFgBTRF0CA_0000013 250.2 256.3 
John_Slattery/tSFgBTRF0CA_0000014 273.0 277.4 
John_Slattery/tSFgBTRF0CA_0000015 283.0 290.7 
John_Slattery/tSFgBTRF0CA_0000016 291.8 299.8 
John_Slattery/tSFgBTRF0CA_0000017 299.9 306.0 
John_Slattery/tSFgBTRF0CA_0000018 319.5 328.6 
John_Slattery/tSFgBTRF0CA_0000019 329.3 339.6 
John_Slattery/tSFgBTRF0CA_0000020 339.8 351.1 
John_Slattery/tSFgBTRF0CA_0000021 353.0 359.9 
John_Slattery/tSFgBTRF0CA_0000022 375.6 389.0 
John_Slattery/tSFgBTRF0CA_0000023 389.8 394.1 
John_Slattery/tSFgBTRF0CA_0000024 413.9 421.0 
John_Slattery/tSFgBTRF0CA_0000025 424.2 428.5 
John_Slattery/tSFgBTRF0CA_0000026 448.0 454.4 
John_Slattery/tSFgBTRF0CA_0000027 468.1 473.0 
John_Slattery/tSFgBTRF0CA_0000028 473.5 487.5 
John_Slattery/tSFgBTRF0CA_0000029 507.0 513.0 
John_Slattery/tSFgBTRF0CA_0000030 516.1 521.0 
John_Slattery/tSFgBTRF0CA_0000031 531.4 535.9 
John_Slattery/tSFgBTRF0CA_0000032 541.4 554.8 
