POI: 			John_Hodgman 
Youtube ID: 	w2aGGP2-xFo 
Video length: 	8546.1 sec 
Set (V): 		dev 
 
John_Hodgman/w2aGGP2-xFo_0000001 369.2 375.4 
John_Hodgman/w2aGGP2-xFo_0000002 375.7 379.8 
John_Hodgman/w2aGGP2-xFo_0000003 1070.7 1075.5 
John_Hodgman/w2aGGP2-xFo_0000004 1226.6 1231.2 
John_Hodgman/w2aGGP2-xFo_0000005 1262.9 1269.0 
John_Hodgman/w2aGGP2-xFo_0000006 1270.1 1274.5 
John_Hodgman/w2aGGP2-xFo_0000007 2076.1 2080.1 
John_Hodgman/w2aGGP2-xFo_0000008 2272.3 2278.5 
John_Hodgman/w2aGGP2-xFo_0000009 2285.4 2291.2 
John_Hodgman/w2aGGP2-xFo_0000010 2293.2 2298.6 
John_Hodgman/w2aGGP2-xFo_0000011 2323.1 2327.3 
John_Hodgman/w2aGGP2-xFo_0000012 2369.5 2375.9 
John_Hodgman/w2aGGP2-xFo_0000013 2516.7 2520.8 
John_Hodgman/w2aGGP2-xFo_0000014 4411.2 4417.8 
John_Hodgman/w2aGGP2-xFo_0000015 4464.7 4470.3 
John_Hodgman/w2aGGP2-xFo_0000016 4489.6 4493.9 
John_Hodgman/w2aGGP2-xFo_0000017 4551.2 4560.2 
John_Hodgman/w2aGGP2-xFo_0000018 4572.4 4576.5 
John_Hodgman/w2aGGP2-xFo_0000019 4598.6 4603.9 
John_Hodgman/w2aGGP2-xFo_0000020 4605.1 4611.5 
John_Hodgman/w2aGGP2-xFo_0000021 4614.4 4619.7 
John_Hodgman/w2aGGP2-xFo_0000022 4633.8 4639.5 
John_Hodgman/w2aGGP2-xFo_0000023 4651.7 4657.5 
John_Hodgman/w2aGGP2-xFo_0000024 4667.1 4673.1 
John_Hodgman/w2aGGP2-xFo_0000025 4677.0 4682.0 
John_Hodgman/w2aGGP2-xFo_0000026 4905.8 4915.4 
John_Hodgman/w2aGGP2-xFo_0000027 4964.8 4974.2 
John_Hodgman/w2aGGP2-xFo_0000028 4995.6 4999.8 
John_Hodgman/w2aGGP2-xFo_0000029 5010.3 5015.1 
John_Hodgman/w2aGGP2-xFo_0000030 5224.8 5229.2 
John_Hodgman/w2aGGP2-xFo_0000031 5649.0 5660.0 
John_Hodgman/w2aGGP2-xFo_0000032 5725.6 5729.8 
John_Hodgman/w2aGGP2-xFo_0000033 5785.2 5791.1 
John_Hodgman/w2aGGP2-xFo_0000034 5806.2 5810.9 
John_Hodgman/w2aGGP2-xFo_0000035 5811.5 5816.7 
John_Hodgman/w2aGGP2-xFo_0000036 5986.6 5998.1 
John_Hodgman/w2aGGP2-xFo_0000037 6106.0 6110.6 
John_Hodgman/w2aGGP2-xFo_0000038 6222.9 6228.3 
John_Hodgman/w2aGGP2-xFo_0000039 6911.0 6915.0 
John_Hodgman/w2aGGP2-xFo_0000040 6918.9 6924.6 
John_Hodgman/w2aGGP2-xFo_0000041 7263.4 7268.8 
John_Hodgman/w2aGGP2-xFo_0000042 7276.9 7281.4 
John_Hodgman/w2aGGP2-xFo_0000043 7283.4 7289.2 
John_Hodgman/w2aGGP2-xFo_0000044 7290.4 7294.8 
John_Hodgman/w2aGGP2-xFo_0000045 7296.9 7303.9 
John_Hodgman/w2aGGP2-xFo_0000046 7320.8 7326.0 
John_Hodgman/w2aGGP2-xFo_0000047 7401.6 7407.6 
John_Hodgman/w2aGGP2-xFo_0000048 7417.5 7421.9 
John_Hodgman/w2aGGP2-xFo_0000049 7647.3 7651.4 
John_Hodgman/w2aGGP2-xFo_0000050 7652.0 7657.3 
John_Hodgman/w2aGGP2-xFo_0000051 7791.5 7795.8 
