POI: 			John_Hodgman 
Youtube ID: 	CFgJCAw60hs 
Video length: 	887.1 sec 
Set (V): 		dev 
 
John_Hodgman/CFgJCAw60hs_0000001 39.7 47.1 
John_Hodgman/CFgJCAw60hs_0000002 67.8 71.8 
John_Hodgman/CFgJCAw60hs_0000003 81.6 86.6 
John_Hodgman/CFgJCAw60hs_0000004 86.8 98.7 
John_Hodgman/CFgJCAw60hs_0000005 108.3 121.1 
John_Hodgman/CFgJCAw60hs_0000006 156.7 163.1 
John_Hodgman/CFgJCAw60hs_0000007 172.7 188.1 
John_Hodgman/CFgJCAw60hs_0000008 193.2 199.4 
John_Hodgman/CFgJCAw60hs_0000009 206.2 215.0 
John_Hodgman/CFgJCAw60hs_0000010 243.8 250.2 
John_Hodgman/CFgJCAw60hs_0000011 251.3 258.5 
John_Hodgman/CFgJCAw60hs_0000012 258.7 264.8 
John_Hodgman/CFgJCAw60hs_0000013 268.8 274.6 
John_Hodgman/CFgJCAw60hs_0000014 296.7 307.9 
John_Hodgman/CFgJCAw60hs_0000015 310.5 315.9 
John_Hodgman/CFgJCAw60hs_0000016 317.4 326.1 
John_Hodgman/CFgJCAw60hs_0000017 349.0 355.1 
John_Hodgman/CFgJCAw60hs_0000018 364.6 369.2 
John_Hodgman/CFgJCAw60hs_0000019 373.9 378.9 
John_Hodgman/CFgJCAw60hs_0000020 387.5 392.2 
John_Hodgman/CFgJCAw60hs_0000021 393.0 400.6 
John_Hodgman/CFgJCAw60hs_0000022 443.7 449.1 
John_Hodgman/CFgJCAw60hs_0000023 450.2 454.6 
John_Hodgman/CFgJCAw60hs_0000024 458.0 464.2 
John_Hodgman/CFgJCAw60hs_0000025 464.6 471.5 
John_Hodgman/CFgJCAw60hs_0000026 475.8 479.8 
John_Hodgman/CFgJCAw60hs_0000027 508.6 514.2 
John_Hodgman/CFgJCAw60hs_0000028 522.3 530.9 
John_Hodgman/CFgJCAw60hs_0000029 543.0 547.6 
John_Hodgman/CFgJCAw60hs_0000030 552.6 564.8 
John_Hodgman/CFgJCAw60hs_0000031 574.2 582.5 
John_Hodgman/CFgJCAw60hs_0000032 583.1 587.1 
John_Hodgman/CFgJCAw60hs_0000033 608.4 612.6 
John_Hodgman/CFgJCAw60hs_0000034 616.4 621.5 
John_Hodgman/CFgJCAw60hs_0000035 665.4 670.0 
John_Hodgman/CFgJCAw60hs_0000036 672.6 679.8 
John_Hodgman/CFgJCAw60hs_0000037 685.1 690.0 
John_Hodgman/CFgJCAw60hs_0000038 708.4 717.5 
John_Hodgman/CFgJCAw60hs_0000039 730.7 735.2 
John_Hodgman/CFgJCAw60hs_0000040 756.8 767.9 
John_Hodgman/CFgJCAw60hs_0000041 772.8 777.6 
John_Hodgman/CFgJCAw60hs_0000042 811.8 817.0 
John_Hodgman/CFgJCAw60hs_0000043 821.6 827.7 
John_Hodgman/CFgJCAw60hs_0000044 834.8 838.8 
John_Hodgman/CFgJCAw60hs_0000045 839.6 846.9 
John_Hodgman/CFgJCAw60hs_0000046 852.0 857.1 
John_Hodgman/CFgJCAw60hs_0000047 860.6 868.4 
