POI: 			Brendan_Gleeson 
Youtube ID: 	_gP9_UEPbmM 
Video length: 	540.3 sec 
Set (V): 		dev 
 
Brendan_Gleeson/_gP9_UEPbmM_0000001 206.6 213.2 
Brendan_Gleeson/_gP9_UEPbmM_0000002 228.0 234.1 
Brendan_Gleeson/_gP9_UEPbmM_0000003 234.9 243.1 
Brendan_Gleeson/_gP9_UEPbmM_0000004 255.9 264.6 
Brendan_Gleeson/_gP9_UEPbmM_0000005 282.7 290.1 
Brendan_Gleeson/_gP9_UEPbmM_0000006 303.7 308.1 
Brendan_Gleeson/_gP9_UEPbmM_0000007 314.9 320.6 
Brendan_Gleeson/_gP9_UEPbmM_0000008 324.2 332.8 
Brendan_Gleeson/_gP9_UEPbmM_0000009 333.1 337.2 
Brendan_Gleeson/_gP9_UEPbmM_0000010 341.4 346.7 
Brendan_Gleeson/_gP9_UEPbmM_0000011 346.9 352.2 
Brendan_Gleeson/_gP9_UEPbmM_0000012 353.4 358.6 
Brendan_Gleeson/_gP9_UEPbmM_0000013 367.4 373.0 
Brendan_Gleeson/_gP9_UEPbmM_0000014 377.8 382.8 
Brendan_Gleeson/_gP9_UEPbmM_0000015 458.5 463.3 
Brendan_Gleeson/_gP9_UEPbmM_0000016 467.0 471.3 
