POI: 			Brendan_Gleeson 
Youtube ID: 	TExNTT3Djvw 
Video length: 	282.5 sec 
Set (V): 		dev 
 
Brendan_Gleeson/TExNTT3Djvw_0000001 24.7 30.2 
Brendan_Gleeson/TExNTT3Djvw_0000002 32.3 40.0 
Brendan_Gleeson/TExNTT3Djvw_0000003 53.0 71.5 
Brendan_Gleeson/TExNTT3Djvw_0000004 79.3 85.2 
Brendan_Gleeson/TExNTT3Djvw_0000005 104.9 109.7 
Brendan_Gleeson/TExNTT3Djvw_0000006 111.5 120.6 
Brendan_Gleeson/TExNTT3Djvw_0000007 126.9 135.8 
Brendan_Gleeson/TExNTT3Djvw_0000008 155.0 165.6 
Brendan_Gleeson/TExNTT3Djvw_0000009 169.9 177.6 
Brendan_Gleeson/TExNTT3Djvw_0000010 185.4 189.4 
Brendan_Gleeson/TExNTT3Djvw_0000011 190.5 194.8 
Brendan_Gleeson/TExNTT3Djvw_0000012 195.9 201.0 
Brendan_Gleeson/TExNTT3Djvw_0000013 201.3 206.4 
Brendan_Gleeson/TExNTT3Djvw_0000014 218.3 224.4 
Brendan_Gleeson/TExNTT3Djvw_0000015 225.5 231.4 
Brendan_Gleeson/TExNTT3Djvw_0000016 236.0 242.8 
