POI: 			Fred_Williamson 
Youtube ID: 	oinBZMkxgts 
Video length: 	1303.9 sec 
Set (V): 		dev 
 
Fred_Williamson/oinBZMkxgts_0000001 105.5 110.8 
Fred_Williamson/oinBZMkxgts_0000002 126.3 130.3 
Fred_Williamson/oinBZMkxgts_0000003 105.7 114.3 
Fred_Williamson/oinBZMkxgts_0000004 126.0 130.9 
Fred_Williamson/oinBZMkxgts_0000005 160.0 164.9 
Fred_Williamson/oinBZMkxgts_0000006 165.2 172.6 
Fred_Williamson/oinBZMkxgts_0000007 173.4 180.6 
Fred_Williamson/oinBZMkxgts_0000008 202.2 213.8 
Fred_Williamson/oinBZMkxgts_0000009 248.0 253.1 
Fred_Williamson/oinBZMkxgts_0000010 273.8 278.4 
Fred_Williamson/oinBZMkxgts_0000011 339.4 343.8 
Fred_Williamson/oinBZMkxgts_0000012 348.7 353.5 
Fred_Williamson/oinBZMkxgts_0000013 369.1 374.2 
Fred_Williamson/oinBZMkxgts_0000014 398.8 404.8 
Fred_Williamson/oinBZMkxgts_0000015 425.6 433.0 
Fred_Williamson/oinBZMkxgts_0000016 455.0 459.3 
Fred_Williamson/oinBZMkxgts_0000017 475.6 481.7 
Fred_Williamson/oinBZMkxgts_0000018 482.3 495.3 
Fred_Williamson/oinBZMkxgts_0000019 496.6 506.7 
Fred_Williamson/oinBZMkxgts_0000020 522.1 527.0 
Fred_Williamson/oinBZMkxgts_0000021 536.8 540.8 
Fred_Williamson/oinBZMkxgts_0000022 541.0 547.3 
Fred_Williamson/oinBZMkxgts_0000023 547.8 553.9 
Fred_Williamson/oinBZMkxgts_0000024 559.4 572.5 
Fred_Williamson/oinBZMkxgts_0000025 665.6 672.0 
Fred_Williamson/oinBZMkxgts_0000026 686.4 692.7 
Fred_Williamson/oinBZMkxgts_0000027 698.1 704.6 
Fred_Williamson/oinBZMkxgts_0000028 706.8 713.1 
Fred_Williamson/oinBZMkxgts_0000029 720.6 724.8 
Fred_Williamson/oinBZMkxgts_0000030 737.9 750.3 
Fred_Williamson/oinBZMkxgts_0000031 813.0 822.0 
Fred_Williamson/oinBZMkxgts_0000032 830.0 841.9 
Fred_Williamson/oinBZMkxgts_0000033 842.2 846.7 
Fred_Williamson/oinBZMkxgts_0000034 891.8 898.8 
Fred_Williamson/oinBZMkxgts_0000035 948.6 953.6 
Fred_Williamson/oinBZMkxgts_0000036 975.1 981.3 
Fred_Williamson/oinBZMkxgts_0000037 1026.1 1030.2 
Fred_Williamson/oinBZMkxgts_0000038 1046.0 1050.3 
Fred_Williamson/oinBZMkxgts_0000039 1072.1 1077.8 
Fred_Williamson/oinBZMkxgts_0000040 1078.2 1083.7 
Fred_Williamson/oinBZMkxgts_0000041 1121.6 1125.7 
Fred_Williamson/oinBZMkxgts_0000042 1132.4 1136.7 
Fred_Williamson/oinBZMkxgts_0000043 1136.9 1143.2 
Fred_Williamson/oinBZMkxgts_0000044 1144.0 1149.4 
Fred_Williamson/oinBZMkxgts_0000045 1156.1 1161.0 
Fred_Williamson/oinBZMkxgts_0000046 1161.4 1165.8 
Fred_Williamson/oinBZMkxgts_0000047 1168.0 1175.1 
Fred_Williamson/oinBZMkxgts_0000048 1196.7 1202.6 
Fred_Williamson/oinBZMkxgts_0000049 1203.2 1212.7 
Fred_Williamson/oinBZMkxgts_0000050 1213.8 1223.8 
Fred_Williamson/oinBZMkxgts_0000051 1237.0 1241.3 
Fred_Williamson/oinBZMkxgts_0000052 1252.2 1258.2 
Fred_Williamson/oinBZMkxgts_0000053 1260.6 1269.9 
Fred_Williamson/oinBZMkxgts_0000054 1283.5 1291.0 
