POI: 			Ron_Jeremy 
Youtube ID: 	G5R2-Hl7YX8 
Video length: 	586.5 sec 
Set (V): 		dev 
 
Ron_Jeremy/G5R2-Hl7YX8_0000001 35.4 41.6 
Ron_Jeremy/G5R2-Hl7YX8_0000002 42.8 49.3 
Ron_Jeremy/G5R2-Hl7YX8_0000003 72.6 78.0 
Ron_Jeremy/G5R2-Hl7YX8_0000004 81.4 104.7 
Ron_Jeremy/G5R2-Hl7YX8_0000005 105.6 110.1 
Ron_Jeremy/G5R2-Hl7YX8_0000006 112.1 121.8 
Ron_Jeremy/G5R2-Hl7YX8_0000007 132.9 146.4 
Ron_Jeremy/G5R2-Hl7YX8_0000008 161.8 169.8 
Ron_Jeremy/G5R2-Hl7YX8_0000009 171.2 179.4 
Ron_Jeremy/G5R2-Hl7YX8_0000010 179.8 185.1 
Ron_Jeremy/G5R2-Hl7YX8_0000011 188.3 195.8 
Ron_Jeremy/G5R2-Hl7YX8_0000012 196.3 200.9 
Ron_Jeremy/G5R2-Hl7YX8_0000013 205.1 216.8 
Ron_Jeremy/G5R2-Hl7YX8_0000014 215.6 220.3 
Ron_Jeremy/G5R2-Hl7YX8_0000015 221.2 236.2 
Ron_Jeremy/G5R2-Hl7YX8_0000016 238.7 242.7 
Ron_Jeremy/G5R2-Hl7YX8_0000017 247.9 254.3 
Ron_Jeremy/G5R2-Hl7YX8_0000018 256.4 264.5 
Ron_Jeremy/G5R2-Hl7YX8_0000019 265.0 282.9 
Ron_Jeremy/G5R2-Hl7YX8_0000020 283.3 292.5 
Ron_Jeremy/G5R2-Hl7YX8_0000021 296.7 301.4 
Ron_Jeremy/G5R2-Hl7YX8_0000022 312.5 329.4 
Ron_Jeremy/G5R2-Hl7YX8_0000023 334.1 338.9 
Ron_Jeremy/G5R2-Hl7YX8_0000024 345.2 358.5 
Ron_Jeremy/G5R2-Hl7YX8_0000025 366.8 371.8 
Ron_Jeremy/G5R2-Hl7YX8_0000026 372.6 377.6 
Ron_Jeremy/G5R2-Hl7YX8_0000027 379.9 385.6 
Ron_Jeremy/G5R2-Hl7YX8_0000028 386.0 390.1 
Ron_Jeremy/G5R2-Hl7YX8_0000029 390.2 398.3 
Ron_Jeremy/G5R2-Hl7YX8_0000030 400.5 418.8 
Ron_Jeremy/G5R2-Hl7YX8_0000031 419.6 424.4 
Ron_Jeremy/G5R2-Hl7YX8_0000032 433.4 469.7 
Ron_Jeremy/G5R2-Hl7YX8_0000033 471.0 487.8 
Ron_Jeremy/G5R2-Hl7YX8_0000034 487.9 492.2 
Ron_Jeremy/G5R2-Hl7YX8_0000035 494.8 501.5 
Ron_Jeremy/G5R2-Hl7YX8_0000036 507.4 526.0 
Ron_Jeremy/G5R2-Hl7YX8_0000037 527.1 536.2 
Ron_Jeremy/G5R2-Hl7YX8_0000038 536.4 546.4 
Ron_Jeremy/G5R2-Hl7YX8_0000039 549.6 554.6 
Ron_Jeremy/G5R2-Hl7YX8_0000040 559.6 566.0 
Ron_Jeremy/G5R2-Hl7YX8_0000041 566.4 570.4 
Ron_Jeremy/G5R2-Hl7YX8_0000042 571.4 576.9 
