POI: 			Sharlto_Copley 
Youtube ID: 	1NDVkgLU0YQ 
Video length: 	408.7 sec 
Set (V): 		dev 
 
Sharlto_Copley/1NDVkgLU0YQ_0000001 11.9 33.3 
Sharlto_Copley/1NDVkgLU0YQ_0000002 36.4 49.4 
Sharlto_Copley/1NDVkgLU0YQ_0000003 54.9 59.2 
Sharlto_Copley/1NDVkgLU0YQ_0000004 61.6 75.0 
Sharlto_Copley/1NDVkgLU0YQ_0000005 75.2 86.0 
Sharlto_Copley/1NDVkgLU0YQ_0000006 90.0 118.4 
Sharlto_Copley/1NDVkgLU0YQ_0000007 131.5 143.0 
Sharlto_Copley/1NDVkgLU0YQ_0000008 143.6 155.8 
Sharlto_Copley/1NDVkgLU0YQ_0000009 158.2 172.5 
Sharlto_Copley/1NDVkgLU0YQ_0000010 174.4 186.7 
Sharlto_Copley/1NDVkgLU0YQ_0000011 203.4 231.8 
Sharlto_Copley/1NDVkgLU0YQ_0000012 225.8 236.9 
Sharlto_Copley/1NDVkgLU0YQ_0000013 243.6 283.4 
Sharlto_Copley/1NDVkgLU0YQ_0000014 291.4 298.7 
Sharlto_Copley/1NDVkgLU0YQ_0000015 314.4 348.4 
Sharlto_Copley/1NDVkgLU0YQ_0000016 352.6 359.1 
Sharlto_Copley/1NDVkgLU0YQ_0000017 359.2 365.9 
Sharlto_Copley/1NDVkgLU0YQ_0000018 366.1 375.8 
