POI: 			Lucas_Grabeel 
Youtube ID: 	TOUDyXrJMMQ 
Video length: 	595.0 sec 
Set (V): 		dev 
 
Lucas_Grabeel/TOUDyXrJMMQ_0000001 26.4 30.7 
Lucas_Grabeel/TOUDyXrJMMQ_0000002 33.2 48.5 
Lucas_Grabeel/TOUDyXrJMMQ_0000003 49.4 62.2 
Lucas_Grabeel/TOUDyXrJMMQ_0000004 23.5 29.5 
Lucas_Grabeel/TOUDyXrJMMQ_0000005 85.6 91.7 
Lucas_Grabeel/TOUDyXrJMMQ_0000006 92.4 113.4 
Lucas_Grabeel/TOUDyXrJMMQ_0000007 114.2 122.1 
Lucas_Grabeel/TOUDyXrJMMQ_0000008 122.3 129.4 
Lucas_Grabeel/TOUDyXrJMMQ_0000009 131.0 136.2 
Lucas_Grabeel/TOUDyXrJMMQ_0000010 142.8 146.8 
Lucas_Grabeel/TOUDyXrJMMQ_0000011 151.5 155.6 
Lucas_Grabeel/TOUDyXrJMMQ_0000012 157.0 163.8 
Lucas_Grabeel/TOUDyXrJMMQ_0000013 164.9 169.4 
Lucas_Grabeel/TOUDyXrJMMQ_0000014 170.2 174.7 
Lucas_Grabeel/TOUDyXrJMMQ_0000015 177.8 188.0 
Lucas_Grabeel/TOUDyXrJMMQ_0000016 195.0 204.5 
Lucas_Grabeel/TOUDyXrJMMQ_0000017 206.3 217.9 
Lucas_Grabeel/TOUDyXrJMMQ_0000018 232.0 243.4 
Lucas_Grabeel/TOUDyXrJMMQ_0000019 244.8 251.5 
Lucas_Grabeel/TOUDyXrJMMQ_0000020 252.4 259.1 
Lucas_Grabeel/TOUDyXrJMMQ_0000021 260.2 264.2 
Lucas_Grabeel/TOUDyXrJMMQ_0000022 265.7 271.4 
Lucas_Grabeel/TOUDyXrJMMQ_0000023 265.7 269.9 
Lucas_Grabeel/TOUDyXrJMMQ_0000024 273.7 285.5 
Lucas_Grabeel/TOUDyXrJMMQ_0000025 288.6 294.8 
Lucas_Grabeel/TOUDyXrJMMQ_0000026 295.8 302.6 
Lucas_Grabeel/TOUDyXrJMMQ_0000027 303.4 327.0 
Lucas_Grabeel/TOUDyXrJMMQ_0000028 327.3 332.0 
Lucas_Grabeel/TOUDyXrJMMQ_0000029 332.8 338.9 
Lucas_Grabeel/TOUDyXrJMMQ_0000030 339.4 346.8 
Lucas_Grabeel/TOUDyXrJMMQ_0000031 349.1 358.3 
Lucas_Grabeel/TOUDyXrJMMQ_0000032 359.8 365.6 
Lucas_Grabeel/TOUDyXrJMMQ_0000033 367.6 372.4 
