POI: 			Timothy_Spall 
Youtube ID: 	G9VW2MPvX40 
Video length: 	698.6 sec 
Set (V): 		dev 
 
Timothy_Spall/G9VW2MPvX40_0000001 50.9 56.9 
Timothy_Spall/G9VW2MPvX40_0000002 75.3 81.1 
Timothy_Spall/G9VW2MPvX40_0000003 84.1 94.5 
Timothy_Spall/G9VW2MPvX40_0000004 128.0 134.1 
Timothy_Spall/G9VW2MPvX40_0000005 147.9 158.4 
Timothy_Spall/G9VW2MPvX40_0000006 159.1 163.2 
Timothy_Spall/G9VW2MPvX40_0000007 182.6 188.8 
Timothy_Spall/G9VW2MPvX40_0000008 212.6 220.1 
Timothy_Spall/G9VW2MPvX40_0000009 243.9 248.4 
Timothy_Spall/G9VW2MPvX40_0000010 254.9 265.4 
Timothy_Spall/G9VW2MPvX40_0000011 293.9 305.6 
Timothy_Spall/G9VW2MPvX40_0000012 323.3 327.6 
Timothy_Spall/G9VW2MPvX40_0000013 328.9 335.6 
Timothy_Spall/G9VW2MPvX40_0000014 336.7 340.8 
Timothy_Spall/G9VW2MPvX40_0000015 344.9 350.6 
Timothy_Spall/G9VW2MPvX40_0000016 361.9 369.1 
Timothy_Spall/G9VW2MPvX40_0000017 369.3 375.9 
Timothy_Spall/G9VW2MPvX40_0000018 380.4 397.0 
Timothy_Spall/G9VW2MPvX40_0000019 401.7 410.4 
Timothy_Spall/G9VW2MPvX40_0000020 412.6 420.4 
Timothy_Spall/G9VW2MPvX40_0000021 420.7 426.6 
Timothy_Spall/G9VW2MPvX40_0000022 443.2 455.9 
Timothy_Spall/G9VW2MPvX40_0000023 456.6 464.8 
Timothy_Spall/G9VW2MPvX40_0000024 465.9 471.1 
Timothy_Spall/G9VW2MPvX40_0000025 656.1 663.1 
Timothy_Spall/G9VW2MPvX40_0000026 669.7 675.2 
