POI: 			Kelli_Giddish 
Youtube ID: 	t4GLDsXNLzo 
Video length: 	238.3 sec 
Set (V): 		dev 
 
Kelli_Giddish/t4GLDsXNLzo_0000001 02.8 08.2 
Kelli_Giddish/t4GLDsXNLzo_0000002 09.0 14.8 
Kelli_Giddish/t4GLDsXNLzo_0000003 16.3 22.1 
Kelli_Giddish/t4GLDsXNLzo_0000004 23.0 28.6 
Kelli_Giddish/t4GLDsXNLzo_0000005 30.6 41.2 
Kelli_Giddish/t4GLDsXNLzo_0000006 48.8 56.6 
Kelli_Giddish/t4GLDsXNLzo_0000007 57.3 62.6 
Kelli_Giddish/t4GLDsXNLzo_0000008 56.9 66.3 
Kelli_Giddish/t4GLDsXNLzo_0000009 72.6 82.2 
Kelli_Giddish/t4GLDsXNLzo_0000010 84.1 88.2 
Kelli_Giddish/t4GLDsXNLzo_0000011 89.8 100.6 
Kelli_Giddish/t4GLDsXNLzo_0000012 105.5 115.7 
Kelli_Giddish/t4GLDsXNLzo_0000013 120.0 128.7 
Kelli_Giddish/t4GLDsXNLzo_0000014 154.3 158.6 
Kelli_Giddish/t4GLDsXNLzo_0000015 159.8 166.6 
Kelli_Giddish/t4GLDsXNLzo_0000016 167.4 180.1 
Kelli_Giddish/t4GLDsXNLzo_0000017 204.2 225.4 
Kelli_Giddish/t4GLDsXNLzo_0000018 225.6 234.9 
