POI: 			Abigail_Spencer 
Youtube ID: 	r4IZRsEGDFs 
Video length: 	1972.1 sec 
Set (V): 		dev 
 
Abigail_Spencer/r4IZRsEGDFs_0000001 189.3 193.6 
Abigail_Spencer/r4IZRsEGDFs_0000002 199.7 209.2 
Abigail_Spencer/r4IZRsEGDFs_0000003 256.0 273.9 
Abigail_Spencer/r4IZRsEGDFs_0000004 275.9 285.9 
Abigail_Spencer/r4IZRsEGDFs_0000005 302.4 309.3 
Abigail_Spencer/r4IZRsEGDFs_0000006 359.9 381.8 
Abigail_Spencer/r4IZRsEGDFs_0000007 494.2 500.2 
Abigail_Spencer/r4IZRsEGDFs_0000008 516.9 525.8 
Abigail_Spencer/r4IZRsEGDFs_0000009 604.5 610.5 
Abigail_Spencer/r4IZRsEGDFs_0000010 611.5 630.0 
Abigail_Spencer/r4IZRsEGDFs_0000011 636.6 642.1 
Abigail_Spencer/r4IZRsEGDFs_0000012 646.9 657.1 
Abigail_Spencer/r4IZRsEGDFs_0000013 696.0 704.7 
Abigail_Spencer/r4IZRsEGDFs_0000014 710.4 720.0 
Abigail_Spencer/r4IZRsEGDFs_0000015 778.4 790.0 
Abigail_Spencer/r4IZRsEGDFs_0000016 797.5 801.8 
Abigail_Spencer/r4IZRsEGDFs_0000017 812.2 817.0 
Abigail_Spencer/r4IZRsEGDFs_0000018 818.2 834.3 
Abigail_Spencer/r4IZRsEGDFs_0000019 861.0 870.9 
Abigail_Spencer/r4IZRsEGDFs_0000020 873.3 880.0 
Abigail_Spencer/r4IZRsEGDFs_0000021 880.6 884.9 
Abigail_Spencer/r4IZRsEGDFs_0000022 889.4 909.4 
Abigail_Spencer/r4IZRsEGDFs_0000023 923.1 927.6 
Abigail_Spencer/r4IZRsEGDFs_0000024 930.7 934.9 
Abigail_Spencer/r4IZRsEGDFs_0000025 990.1 1004.1 
Abigail_Spencer/r4IZRsEGDFs_0000026 1056.6 1062.0 
Abigail_Spencer/r4IZRsEGDFs_0000027 1168.7 1180.0 
Abigail_Spencer/r4IZRsEGDFs_0000028 1186.0 1195.4 
Abigail_Spencer/r4IZRsEGDFs_0000029 1205.8 1217.1 
Abigail_Spencer/r4IZRsEGDFs_0000030 1221.0 1234.6 
Abigail_Spencer/r4IZRsEGDFs_0000031 1243.3 1248.3 
Abigail_Spencer/r4IZRsEGDFs_0000032 1283.9 1292.9 
Abigail_Spencer/r4IZRsEGDFs_0000033 1293.5 1299.3 
Abigail_Spencer/r4IZRsEGDFs_0000034 1302.4 1310.4 
Abigail_Spencer/r4IZRsEGDFs_0000035 1323.6 1329.3 
Abigail_Spencer/r4IZRsEGDFs_0000036 1378.2 1382.6 
Abigail_Spencer/r4IZRsEGDFs_0000037 1398.7 1407.6 
Abigail_Spencer/r4IZRsEGDFs_0000038 1459.6 1467.3 
Abigail_Spencer/r4IZRsEGDFs_0000039 1503.5 1507.6 
Abigail_Spencer/r4IZRsEGDFs_0000040 1534.1 1544.3 
Abigail_Spencer/r4IZRsEGDFs_0000041 1565.2 1570.7 
Abigail_Spencer/r4IZRsEGDFs_0000042 1601.5 1607.3 
Abigail_Spencer/r4IZRsEGDFs_0000043 1610.6 1616.7 
Abigail_Spencer/r4IZRsEGDFs_0000044 1654.2 1660.0 
Abigail_Spencer/r4IZRsEGDFs_0000045 1668.9 1673.6 
Abigail_Spencer/r4IZRsEGDFs_0000046 1678.7 1682.9 
Abigail_Spencer/r4IZRsEGDFs_0000047 1723.5 1729.2 
Abigail_Spencer/r4IZRsEGDFs_0000048 1730.1 1740.3 
Abigail_Spencer/r4IZRsEGDFs_0000049 1789.4 1794.8 
Abigail_Spencer/r4IZRsEGDFs_0000050 1808.8 1819.2 
Abigail_Spencer/r4IZRsEGDFs_0000051 1852.8 1856.9 
Abigail_Spencer/r4IZRsEGDFs_0000052 1857.1 1865.7 
Abigail_Spencer/r4IZRsEGDFs_0000053 1875.0 1880.3 
Abigail_Spencer/r4IZRsEGDFs_0000054 1888.1 1894.4 
Abigail_Spencer/r4IZRsEGDFs_0000055 1899.3 1909.8 
Abigail_Spencer/r4IZRsEGDFs_0000056 1939.2 1945.2 
