POI: 			Mya 
Youtube ID: 	N_524p1QzXQ 
Video length: 	646.3 sec 
Set (V): 		dev 
 
Mya/N_524p1QzXQ_0000001 30.4 37.3 
Mya/N_524p1QzXQ_0000002 67.2 72.5 
Mya/N_524p1QzXQ_0000003 105.0 114.4 
Mya/N_524p1QzXQ_0000004 128.2 132.9 
Mya/N_524p1QzXQ_0000005 135.7 143.1 
Mya/N_524p1QzXQ_0000006 237.5 243.4 
Mya/N_524p1QzXQ_0000007 291.9 296.7 
Mya/N_524p1QzXQ_0000008 306.2 316.0 
Mya/N_524p1QzXQ_0000009 317.5 323.2 
Mya/N_524p1QzXQ_0000010 323.4 339.2 
Mya/N_524p1QzXQ_0000011 357.3 362.0 
Mya/N_524p1QzXQ_0000012 367.2 371.7 
Mya/N_524p1QzXQ_0000013 385.4 393.4 
Mya/N_524p1QzXQ_0000014 398.0 403.9 
Mya/N_524p1QzXQ_0000015 415.5 430.4 
Mya/N_524p1QzXQ_0000016 430.8 437.4 
Mya/N_524p1QzXQ_0000017 441.8 446.0 
Mya/N_524p1QzXQ_0000018 447.3 453.5 
Mya/N_524p1QzXQ_0000019 542.3 563.3 
Mya/N_524p1QzXQ_0000020 563.6 570.8 
Mya/N_524p1QzXQ_0000021 572.7 584.5 
Mya/N_524p1QzXQ_0000022 588.5 593.6 
Mya/N_524p1QzXQ_0000023 629.8 639.4 
