POI: 			Dot-Marie_Jones 
Youtube ID: 	5WqOh2rFYYw 
Video length: 	649.4 sec 
Set (V): 		dev 
 
Dot-Marie_Jones/5WqOh2rFYYw_0000001 18.0 22.5 
Dot-Marie_Jones/5WqOh2rFYYw_0000002 61.0 65.8 
Dot-Marie_Jones/5WqOh2rFYYw_0000003 74.2 80.9 
Dot-Marie_Jones/5WqOh2rFYYw_0000004 96.9 110.4 
Dot-Marie_Jones/5WqOh2rFYYw_0000005 113.3 117.6 
Dot-Marie_Jones/5WqOh2rFYYw_0000006 125.2 130.2 
Dot-Marie_Jones/5WqOh2rFYYw_0000007 139.8 148.2 
Dot-Marie_Jones/5WqOh2rFYYw_0000008 154.9 161.1 
Dot-Marie_Jones/5WqOh2rFYYw_0000009 198.5 203.7 
Dot-Marie_Jones/5WqOh2rFYYw_0000010 207.8 212.6 
Dot-Marie_Jones/5WqOh2rFYYw_0000011 527.4 533.3 
Dot-Marie_Jones/5WqOh2rFYYw_0000012 548.3 564.9 
Dot-Marie_Jones/5WqOh2rFYYw_0000013 570.2 585.5 
Dot-Marie_Jones/5WqOh2rFYYw_0000014 589.8 596.0 
Dot-Marie_Jones/5WqOh2rFYYw_0000015 608.8 617.9 
Dot-Marie_Jones/5WqOh2rFYYw_0000016 620.1 628.7 
