POI: 			Kangana_Ranaut 
Youtube ID: 	iqOLK7gLNCo 
Video length: 	585.7 sec 
Set (V): 		dev 
 
Kangana_Ranaut/iqOLK7gLNCo_0000001 69.5 74.2 
Kangana_Ranaut/iqOLK7gLNCo_0000002 77.4 84.8 
Kangana_Ranaut/iqOLK7gLNCo_0000003 88.0 101.1 
Kangana_Ranaut/iqOLK7gLNCo_0000004 122.1 134.5 
Kangana_Ranaut/iqOLK7gLNCo_0000005 145.9 154.8 
Kangana_Ranaut/iqOLK7gLNCo_0000006 166.6 174.1 
Kangana_Ranaut/iqOLK7gLNCo_0000007 177.6 186.0 
Kangana_Ranaut/iqOLK7gLNCo_0000008 189.5 194.1 
Kangana_Ranaut/iqOLK7gLNCo_0000009 199.0 208.6 
Kangana_Ranaut/iqOLK7gLNCo_0000010 211.7 216.2 
Kangana_Ranaut/iqOLK7gLNCo_0000011 216.8 225.0 
Kangana_Ranaut/iqOLK7gLNCo_0000012 237.8 243.5 
Kangana_Ranaut/iqOLK7gLNCo_0000013 247.4 253.3 
Kangana_Ranaut/iqOLK7gLNCo_0000014 313.0 318.3 
Kangana_Ranaut/iqOLK7gLNCo_0000015 352.5 358.4 
Kangana_Ranaut/iqOLK7gLNCo_0000016 367.2 375.7 
Kangana_Ranaut/iqOLK7gLNCo_0000017 386.7 393.2 
Kangana_Ranaut/iqOLK7gLNCo_0000018 410.0 414.8 
Kangana_Ranaut/iqOLK7gLNCo_0000019 435.4 442.8 
Kangana_Ranaut/iqOLK7gLNCo_0000020 501.5 505.5 
Kangana_Ranaut/iqOLK7gLNCo_0000021 521.0 526.5 
Kangana_Ranaut/iqOLK7gLNCo_0000022 530.0 534.6 
Kangana_Ranaut/iqOLK7gLNCo_0000023 564.7 568.6 
