POI: 			Kangana_Ranaut 
Youtube ID: 	ncajg8Tki3M 
Video length: 	1432.8 sec 
Set (V): 		dev 
 
Kangana_Ranaut/ncajg8Tki3M_0000001 368.2 377.9 
Kangana_Ranaut/ncajg8Tki3M_0000002 380.4 386.4 
Kangana_Ranaut/ncajg8Tki3M_0000003 390.1 415.5 
Kangana_Ranaut/ncajg8Tki3M_0000004 415.7 422.3 
Kangana_Ranaut/ncajg8Tki3M_0000005 424.0 429.2 
Kangana_Ranaut/ncajg8Tki3M_0000006 429.8 435.6 
Kangana_Ranaut/ncajg8Tki3M_0000007 446.1 458.1 
Kangana_Ranaut/ncajg8Tki3M_0000008 458.8 475.2 
Kangana_Ranaut/ncajg8Tki3M_0000009 477.3 481.6 
Kangana_Ranaut/ncajg8Tki3M_0000010 484.4 497.0 
Kangana_Ranaut/ncajg8Tki3M_0000011 497.5 526.9 
Kangana_Ranaut/ncajg8Tki3M_0000012 527.0 537.8 
Kangana_Ranaut/ncajg8Tki3M_0000013 537.9 560.0 
Kangana_Ranaut/ncajg8Tki3M_0000014 560.8 585.8 
Kangana_Ranaut/ncajg8Tki3M_0000015 589.2 602.2 
Kangana_Ranaut/ncajg8Tki3M_0000016 624.7 637.0 
Kangana_Ranaut/ncajg8Tki3M_0000017 637.7 650.9 
Kangana_Ranaut/ncajg8Tki3M_0000018 694.8 699.2 
Kangana_Ranaut/ncajg8Tki3M_0000019 703.7 718.0 
Kangana_Ranaut/ncajg8Tki3M_0000020 720.2 725.4 
Kangana_Ranaut/ncajg8Tki3M_0000021 725.7 740.5 
Kangana_Ranaut/ncajg8Tki3M_0000022 756.8 763.6 
Kangana_Ranaut/ncajg8Tki3M_0000023 763.9 774.4 
Kangana_Ranaut/ncajg8Tki3M_0000024 815.0 819.7 
Kangana_Ranaut/ncajg8Tki3M_0000025 820.4 824.8 
Kangana_Ranaut/ncajg8Tki3M_0000026 825.0 834.5 
Kangana_Ranaut/ncajg8Tki3M_0000027 834.6 840.6 
Kangana_Ranaut/ncajg8Tki3M_0000028 873.2 883.4 
Kangana_Ranaut/ncajg8Tki3M_0000029 883.8 890.7 
Kangana_Ranaut/ncajg8Tki3M_0000030 891.3 901.7 
Kangana_Ranaut/ncajg8Tki3M_0000031 903.1 909.6 
Kangana_Ranaut/ncajg8Tki3M_0000032 911.4 920.9 
Kangana_Ranaut/ncajg8Tki3M_0000033 921.0 932.7 
