POI: 			Kangana_Ranaut 
Youtube ID: 	8iZJ5S_OZqQ 
Video length: 	1017.0 sec 
Set (V): 		dev 
 
Kangana_Ranaut/8iZJ5S_OZqQ_0000001 52.2 57.7 
Kangana_Ranaut/8iZJ5S_OZqQ_0000002 59.8 64.9 
Kangana_Ranaut/8iZJ5S_OZqQ_0000003 65.8 73.2 
Kangana_Ranaut/8iZJ5S_OZqQ_0000004 90.8 95.9 
Kangana_Ranaut/8iZJ5S_OZqQ_0000005 98.7 121.8 
Kangana_Ranaut/8iZJ5S_OZqQ_0000006 122.8 128.0 
Kangana_Ranaut/8iZJ5S_OZqQ_0000007 150.0 159.0 
Kangana_Ranaut/8iZJ5S_OZqQ_0000008 163.2 168.4 
Kangana_Ranaut/8iZJ5S_OZqQ_0000009 231.0 238.3 
Kangana_Ranaut/8iZJ5S_OZqQ_0000010 323.2 329.5 
Kangana_Ranaut/8iZJ5S_OZqQ_0000011 330.2 345.8 
Kangana_Ranaut/8iZJ5S_OZqQ_0000012 375.9 384.2 
Kangana_Ranaut/8iZJ5S_OZqQ_0000013 387.7 394.4 
Kangana_Ranaut/8iZJ5S_OZqQ_0000014 395.0 405.3 
Kangana_Ranaut/8iZJ5S_OZqQ_0000015 420.7 425.0 
Kangana_Ranaut/8iZJ5S_OZqQ_0000016 426.8 436.8 
Kangana_Ranaut/8iZJ5S_OZqQ_0000017 437.6 446.6 
Kangana_Ranaut/8iZJ5S_OZqQ_0000018 488.1 493.0 
Kangana_Ranaut/8iZJ5S_OZqQ_0000019 494.9 501.6 
Kangana_Ranaut/8iZJ5S_OZqQ_0000020 501.7 510.5 
Kangana_Ranaut/8iZJ5S_OZqQ_0000021 515.4 524.6 
Kangana_Ranaut/8iZJ5S_OZqQ_0000022 525.6 560.1 
Kangana_Ranaut/8iZJ5S_OZqQ_0000023 562.1 571.6 
Kangana_Ranaut/8iZJ5S_OZqQ_0000024 582.1 586.7 
Kangana_Ranaut/8iZJ5S_OZqQ_0000025 586.9 601.1 
Kangana_Ranaut/8iZJ5S_OZqQ_0000026 608.7 614.0 
Kangana_Ranaut/8iZJ5S_OZqQ_0000027 620.4 624.8 
Kangana_Ranaut/8iZJ5S_OZqQ_0000028 626.1 632.8 
Kangana_Ranaut/8iZJ5S_OZqQ_0000029 650.2 664.9 
Kangana_Ranaut/8iZJ5S_OZqQ_0000030 669.4 676.7 
Kangana_Ranaut/8iZJ5S_OZqQ_0000031 712.8 718.4 
Kangana_Ranaut/8iZJ5S_OZqQ_0000032 743.7 764.1 
Kangana_Ranaut/8iZJ5S_OZqQ_0000033 769.2 774.9 
Kangana_Ranaut/8iZJ5S_OZqQ_0000034 781.4 789.0 
Kangana_Ranaut/8iZJ5S_OZqQ_0000035 801.4 806.0 
Kangana_Ranaut/8iZJ5S_OZqQ_0000036 818.9 825.2 
Kangana_Ranaut/8iZJ5S_OZqQ_0000037 881.5 886.2 
Kangana_Ranaut/8iZJ5S_OZqQ_0000038 887.1 895.2 
Kangana_Ranaut/8iZJ5S_OZqQ_0000039 907.4 916.5 
Kangana_Ranaut/8iZJ5S_OZqQ_0000040 922.0 932.2 
Kangana_Ranaut/8iZJ5S_OZqQ_0000041 972.3 976.6 
Kangana_Ranaut/8iZJ5S_OZqQ_0000042 987.1 995.4 
Kangana_Ranaut/8iZJ5S_OZqQ_0000043 996.4 1003.4 
