POI: 			Kangana_Ranaut 
Youtube ID: 	U0UNvoRitTg 
Video length: 	1255.1 sec 
Set (V): 		dev 
 
Kangana_Ranaut/U0UNvoRitTg_0000001 98.0 104.5 
Kangana_Ranaut/U0UNvoRitTg_0000002 116.8 126.5 
Kangana_Ranaut/U0UNvoRitTg_0000003 149.4 162.3 
Kangana_Ranaut/U0UNvoRitTg_0000004 168.3 173.6 
Kangana_Ranaut/U0UNvoRitTg_0000005 176.5 180.7 
Kangana_Ranaut/U0UNvoRitTg_0000006 187.8 192.6 
Kangana_Ranaut/U0UNvoRitTg_0000007 237.2 242.0 
Kangana_Ranaut/U0UNvoRitTg_0000008 247.5 251.6 
Kangana_Ranaut/U0UNvoRitTg_0000009 251.8 258.0 
Kangana_Ranaut/U0UNvoRitTg_0000010 289.6 298.4 
Kangana_Ranaut/U0UNvoRitTg_0000011 327.2 340.5 
Kangana_Ranaut/U0UNvoRitTg_0000012 346.6 353.6 
Kangana_Ranaut/U0UNvoRitTg_0000013 368.8 375.6 
Kangana_Ranaut/U0UNvoRitTg_0000014 409.1 413.2 
Kangana_Ranaut/U0UNvoRitTg_0000015 429.9 434.0 
Kangana_Ranaut/U0UNvoRitTg_0000016 471.5 479.1 
Kangana_Ranaut/U0UNvoRitTg_0000017 486.4 492.8 
Kangana_Ranaut/U0UNvoRitTg_0000018 501.9 507.7 
Kangana_Ranaut/U0UNvoRitTg_0000019 538.0 546.1 
Kangana_Ranaut/U0UNvoRitTg_0000020 582.7 593.4 
Kangana_Ranaut/U0UNvoRitTg_0000021 598.4 604.8 
Kangana_Ranaut/U0UNvoRitTg_0000022 627.8 633.7 
Kangana_Ranaut/U0UNvoRitTg_0000023 686.6 692.4 
Kangana_Ranaut/U0UNvoRitTg_0000024 710.7 722.6 
Kangana_Ranaut/U0UNvoRitTg_0000025 726.9 743.2 
Kangana_Ranaut/U0UNvoRitTg_0000026 758.0 764.9 
Kangana_Ranaut/U0UNvoRitTg_0000027 770.2 775.3 
Kangana_Ranaut/U0UNvoRitTg_0000028 802.1 810.7 
Kangana_Ranaut/U0UNvoRitTg_0000029 817.6 828.1 
Kangana_Ranaut/U0UNvoRitTg_0000030 872.8 881.8 
Kangana_Ranaut/U0UNvoRitTg_0000031 887.2 894.7 
Kangana_Ranaut/U0UNvoRitTg_0000032 914.8 920.3 
Kangana_Ranaut/U0UNvoRitTg_0000033 920.8 928.1 
Kangana_Ranaut/U0UNvoRitTg_0000034 957.9 964.2 
Kangana_Ranaut/U0UNvoRitTg_0000035 964.8 970.1 
Kangana_Ranaut/U0UNvoRitTg_0000036 1029.8 1047.8 
Kangana_Ranaut/U0UNvoRitTg_0000037 1066.0 1075.2 
Kangana_Ranaut/U0UNvoRitTg_0000038 1096.8 1109.1 
Kangana_Ranaut/U0UNvoRitTg_0000039 1136.0 1142.6 
Kangana_Ranaut/U0UNvoRitTg_0000040 1149.3 1156.3 
Kangana_Ranaut/U0UNvoRitTg_0000041 1172.9 1185.0 
