POI: 			Kangana_Ranaut 
Youtube ID: 	HywWPDQKSYE 
Video length: 	557.1 sec 
Set (V): 		dev 
 
Kangana_Ranaut/HywWPDQKSYE_0000001 20.8 29.9 
Kangana_Ranaut/HywWPDQKSYE_0000002 33.2 44.4 
Kangana_Ranaut/HywWPDQKSYE_0000003 48.5 52.6 
Kangana_Ranaut/HywWPDQKSYE_0000004 55.8 62.2 
Kangana_Ranaut/HywWPDQKSYE_0000005 95.7 103.4 
Kangana_Ranaut/HywWPDQKSYE_0000006 106.7 112.1 
Kangana_Ranaut/HywWPDQKSYE_0000007 115.5 121.8 
Kangana_Ranaut/HywWPDQKSYE_0000008 128.2 135.0 
Kangana_Ranaut/HywWPDQKSYE_0000009 172.9 181.1 
Kangana_Ranaut/HywWPDQKSYE_0000010 187.4 193.6 
Kangana_Ranaut/HywWPDQKSYE_0000011 196.8 205.8 
Kangana_Ranaut/HywWPDQKSYE_0000012 214.0 221.3 
Kangana_Ranaut/HywWPDQKSYE_0000013 231.2 240.2 
Kangana_Ranaut/HywWPDQKSYE_0000014 243.8 248.7 
Kangana_Ranaut/HywWPDQKSYE_0000015 252.0 258.9 
Kangana_Ranaut/HywWPDQKSYE_0000016 262.2 270.2 
Kangana_Ranaut/HywWPDQKSYE_0000017 287.4 293.9 
Kangana_Ranaut/HywWPDQKSYE_0000018 294.6 299.6 
Kangana_Ranaut/HywWPDQKSYE_0000019 302.8 307.8 
Kangana_Ranaut/HywWPDQKSYE_0000020 309.1 316.2 
Kangana_Ranaut/HywWPDQKSYE_0000021 352.3 361.4 
Kangana_Ranaut/HywWPDQKSYE_0000022 365.8 374.9 
Kangana_Ranaut/HywWPDQKSYE_0000023 382.7 392.8 
Kangana_Ranaut/HywWPDQKSYE_0000024 396.0 402.2 
Kangana_Ranaut/HywWPDQKSYE_0000025 405.3 409.7 
Kangana_Ranaut/HywWPDQKSYE_0000026 416.5 424.2 
Kangana_Ranaut/HywWPDQKSYE_0000027 427.3 432.6 
Kangana_Ranaut/HywWPDQKSYE_0000028 524.0 533.8 
