POI: 			Kal_Penn 
Youtube ID: 	T5rJzffXvVM 
Video length: 	914.5 sec 
Set (V): 		dev 
 
Kal_Penn/T5rJzffXvVM_0000001 59.5 64.5 
Kal_Penn/T5rJzffXvVM_0000002 84.8 90.1 
Kal_Penn/T5rJzffXvVM_0000003 95.3 104.1 
Kal_Penn/T5rJzffXvVM_0000004 105.0 109.3 
Kal_Penn/T5rJzffXvVM_0000005 123.3 134.1 
Kal_Penn/T5rJzffXvVM_0000006 149.4 154.4 
Kal_Penn/T5rJzffXvVM_0000007 159.0 164.7 
Kal_Penn/T5rJzffXvVM_0000008 169.0 176.7 
Kal_Penn/T5rJzffXvVM_0000009 199.7 206.0 
Kal_Penn/T5rJzffXvVM_0000010 211.0 218.4 
Kal_Penn/T5rJzffXvVM_0000011 223.5 233.7 
Kal_Penn/T5rJzffXvVM_0000012 237.8 242.4 
Kal_Penn/T5rJzffXvVM_0000013 247.3 256.0 
Kal_Penn/T5rJzffXvVM_0000014 262.4 267.9 
Kal_Penn/T5rJzffXvVM_0000015 275.2 280.1 
Kal_Penn/T5rJzffXvVM_0000016 306.0 314.4 
Kal_Penn/T5rJzffXvVM_0000017 321.4 326.5 
Kal_Penn/T5rJzffXvVM_0000018 339.6 347.5 
Kal_Penn/T5rJzffXvVM_0000019 351.4 356.0 
Kal_Penn/T5rJzffXvVM_0000020 362.2 379.4 
Kal_Penn/T5rJzffXvVM_0000021 392.1 398.7 
Kal_Penn/T5rJzffXvVM_0000022 403.6 415.9 
Kal_Penn/T5rJzffXvVM_0000023 427.6 434.2 
Kal_Penn/T5rJzffXvVM_0000024 489.5 495.3 
Kal_Penn/T5rJzffXvVM_0000025 515.1 520.8 
Kal_Penn/T5rJzffXvVM_0000026 533.2 537.4 
Kal_Penn/T5rJzffXvVM_0000027 576.8 583.3 
Kal_Penn/T5rJzffXvVM_0000028 589.8 596.5 
Kal_Penn/T5rJzffXvVM_0000029 612.0 621.7 
Kal_Penn/T5rJzffXvVM_0000030 659.2 665.5 
Kal_Penn/T5rJzffXvVM_0000031 685.8 691.2 
Kal_Penn/T5rJzffXvVM_0000032 708.5 712.8 
Kal_Penn/T5rJzffXvVM_0000033 721.1 727.6 
Kal_Penn/T5rJzffXvVM_0000034 732.3 741.3 
Kal_Penn/T5rJzffXvVM_0000035 748.7 758.6 
Kal_Penn/T5rJzffXvVM_0000036 769.8 778.8 
Kal_Penn/T5rJzffXvVM_0000037 783.2 787.4 
Kal_Penn/T5rJzffXvVM_0000038 806.1 810.1 
Kal_Penn/T5rJzffXvVM_0000039 825.3 829.5 
Kal_Penn/T5rJzffXvVM_0000040 832.7 841.6 
Kal_Penn/T5rJzffXvVM_0000041 868.0 872.8 
Kal_Penn/T5rJzffXvVM_0000042 883.0 891.1 
Kal_Penn/T5rJzffXvVM_0000043 895.4 901.1 
