POI: 			Kal_Penn 
Youtube ID: 	W137l5XHy9I 
Video length: 	1188.1 sec 
Set (V): 		dev 
 
Kal_Penn/W137l5XHy9I_0000001 44.6 55.0 
Kal_Penn/W137l5XHy9I_0000002 78.1 87.4 
Kal_Penn/W137l5XHy9I_0000003 109.2 113.7 
Kal_Penn/W137l5XHy9I_0000004 121.8 125.9 
Kal_Penn/W137l5XHy9I_0000005 138.0 142.2 
Kal_Penn/W137l5XHy9I_0000006 161.6 168.6 
Kal_Penn/W137l5XHy9I_0000007 195.4 205.2 
Kal_Penn/W137l5XHy9I_0000008 214.6 221.3 
Kal_Penn/W137l5XHy9I_0000009 253.0 257.3 
Kal_Penn/W137l5XHy9I_0000010 265.0 270.5 
Kal_Penn/W137l5XHy9I_0000011 271.0 276.6 
Kal_Penn/W137l5XHy9I_0000012 280.8 291.0 
Kal_Penn/W137l5XHy9I_0000013 310.1 314.9 
Kal_Penn/W137l5XHy9I_0000014 324.2 328.4 
Kal_Penn/W137l5XHy9I_0000015 344.4 355.7 
Kal_Penn/W137l5XHy9I_0000016 361.3 375.0 
Kal_Penn/W137l5XHy9I_0000017 392.6 407.8 
Kal_Penn/W137l5XHy9I_0000018 448.9 454.6 
Kal_Penn/W137l5XHy9I_0000019 459.9 467.5 
Kal_Penn/W137l5XHy9I_0000020 477.2 481.8 
Kal_Penn/W137l5XHy9I_0000021 482.6 491.5 
Kal_Penn/W137l5XHy9I_0000022 496.2 507.1 
Kal_Penn/W137l5XHy9I_0000023 535.5 542.6 
Kal_Penn/W137l5XHy9I_0000024 548.4 557.4 
Kal_Penn/W137l5XHy9I_0000025 565.1 577.5 
Kal_Penn/W137l5XHy9I_0000026 582.5 597.0 
Kal_Penn/W137l5XHy9I_0000027 602.1 614.5 
Kal_Penn/W137l5XHy9I_0000028 625.9 638.4 
Kal_Penn/W137l5XHy9I_0000029 682.1 698.8 
Kal_Penn/W137l5XHy9I_0000030 706.0 712.4 
Kal_Penn/W137l5XHy9I_0000031 716.0 726.2 
Kal_Penn/W137l5XHy9I_0000032 752.0 759.2 
Kal_Penn/W137l5XHy9I_0000033 764.3 773.8 
Kal_Penn/W137l5XHy9I_0000034 779.5 785.9 
Kal_Penn/W137l5XHy9I_0000035 790.9 795.6 
Kal_Penn/W137l5XHy9I_0000036 808.8 823.0 
Kal_Penn/W137l5XHy9I_0000037 904.7 909.2 
Kal_Penn/W137l5XHy9I_0000038 917.9 928.2 
Kal_Penn/W137l5XHy9I_0000039 932.3 939.5 
Kal_Penn/W137l5XHy9I_0000040 954.0 958.8 
Kal_Penn/W137l5XHy9I_0000041 963.1 971.4 
Kal_Penn/W137l5XHy9I_0000042 980.7 988.4 
Kal_Penn/W137l5XHy9I_0000043 1025.8 1032.1 
Kal_Penn/W137l5XHy9I_0000044 1042.1 1049.9 
Kal_Penn/W137l5XHy9I_0000045 1054.0 1061.6 
Kal_Penn/W137l5XHy9I_0000046 1071.4 1075.8 
