POI: 			Sarah_Hyland 
Youtube ID: 	Q0A4RUFQBJU 
Video length: 	452.5 sec 
Set (V): 		dev 
 
Sarah_Hyland/Q0A4RUFQBJU_0000001 04.8 26.1 
Sarah_Hyland/Q0A4RUFQBJU_0000002 42.7 55.9 
Sarah_Hyland/Q0A4RUFQBJU_0000003 63.1 67.2 
Sarah_Hyland/Q0A4RUFQBJU_0000004 117.3 123.2 
Sarah_Hyland/Q0A4RUFQBJU_0000005 123.8 154.9 
Sarah_Hyland/Q0A4RUFQBJU_0000006 155.5 168.0 
Sarah_Hyland/Q0A4RUFQBJU_0000007 168.4 175.2 
Sarah_Hyland/Q0A4RUFQBJU_0000008 175.9 180.9 
Sarah_Hyland/Q0A4RUFQBJU_0000009 181.6 188.2 
Sarah_Hyland/Q0A4RUFQBJU_0000010 199.5 221.6 
Sarah_Hyland/Q0A4RUFQBJU_0000011 226.0 230.9 
Sarah_Hyland/Q0A4RUFQBJU_0000012 232.8 240.4 
Sarah_Hyland/Q0A4RUFQBJU_0000013 252.4 257.2 
Sarah_Hyland/Q0A4RUFQBJU_0000014 258.0 262.4 
Sarah_Hyland/Q0A4RUFQBJU_0000015 266.6 279.4 
Sarah_Hyland/Q0A4RUFQBJU_0000016 292.4 296.5 
Sarah_Hyland/Q0A4RUFQBJU_0000017 297.6 303.4 
Sarah_Hyland/Q0A4RUFQBJU_0000018 297.6 304.4 
Sarah_Hyland/Q0A4RUFQBJU_0000019 313.0 341.2 
Sarah_Hyland/Q0A4RUFQBJU_0000020 355.0 359.2 
Sarah_Hyland/Q0A4RUFQBJU_0000021 360.8 365.6 
Sarah_Hyland/Q0A4RUFQBJU_0000022 366.8 375.6 
Sarah_Hyland/Q0A4RUFQBJU_0000023 387.2 395.4 
Sarah_Hyland/Q0A4RUFQBJU_0000024 397.0 401.4 
Sarah_Hyland/Q0A4RUFQBJU_0000025 406.7 413.1 
Sarah_Hyland/Q0A4RUFQBJU_0000026 425.4 430.5 
Sarah_Hyland/Q0A4RUFQBJU_0000027 441.4 448.5 
