POI: 			Linda_Cardellini 
Youtube ID: 	dXAgeC29uVY 
Video length: 	448.5 sec 
Set (V): 		dev 
 
Linda_Cardellini/dXAgeC29uVY_0000001 30.6 38.8 
Linda_Cardellini/dXAgeC29uVY_0000002 39.7 64.7 
Linda_Cardellini/dXAgeC29uVY_0000003 98.5 102.6 
Linda_Cardellini/dXAgeC29uVY_0000004 103.8 109.9 
Linda_Cardellini/dXAgeC29uVY_0000005 111.8 134.9 
Linda_Cardellini/dXAgeC29uVY_0000006 140.0 148.8 
Linda_Cardellini/dXAgeC29uVY_0000007 184.5 194.6 
Linda_Cardellini/dXAgeC29uVY_0000008 197.6 213.0 
Linda_Cardellini/dXAgeC29uVY_0000009 225.3 232.3 
Linda_Cardellini/dXAgeC29uVY_0000010 232.5 249.2 
Linda_Cardellini/dXAgeC29uVY_0000011 251.0 255.9 
Linda_Cardellini/dXAgeC29uVY_0000012 256.2 260.4 
Linda_Cardellini/dXAgeC29uVY_0000013 277.7 297.1 
Linda_Cardellini/dXAgeC29uVY_0000014 297.4 301.6 
Linda_Cardellini/dXAgeC29uVY_0000015 331.3 336.0 
Linda_Cardellini/dXAgeC29uVY_0000016 336.6 378.8 
Linda_Cardellini/dXAgeC29uVY_0000017 388.4 429.2 
