POI: 			Indira_Varma 
Youtube ID: 	uWZRSkqJ--g 
Video length: 	395.6 sec 
Set (V): 		dev 
 
Indira_Varma/uWZRSkqJ--g_0000001 11.5 23.2 
Indira_Varma/uWZRSkqJ--g_0000002 30.3 49.3 
Indira_Varma/uWZRSkqJ--g_0000003 56.8 62.6 
Indira_Varma/uWZRSkqJ--g_0000004 64.7 82.0 
Indira_Varma/uWZRSkqJ--g_0000005 84.5 89.9 
Indira_Varma/uWZRSkqJ--g_0000006 92.1 100.6 
Indira_Varma/uWZRSkqJ--g_0000007 105.8 114.4 
Indira_Varma/uWZRSkqJ--g_0000008 118.6 125.0 
Indira_Varma/uWZRSkqJ--g_0000009 127.2 136.5 
Indira_Varma/uWZRSkqJ--g_0000010 138.8 144.4 
Indira_Varma/uWZRSkqJ--g_0000011 146.6 152.2 
Indira_Varma/uWZRSkqJ--g_0000012 154.2 158.8 
Indira_Varma/uWZRSkqJ--g_0000013 166.5 176.2 
Indira_Varma/uWZRSkqJ--g_0000014 176.6 184.6 
Indira_Varma/uWZRSkqJ--g_0000015 201.9 210.4 
Indira_Varma/uWZRSkqJ--g_0000016 216.5 229.0 
Indira_Varma/uWZRSkqJ--g_0000017 231.3 236.1 
Indira_Varma/uWZRSkqJ--g_0000018 238.4 247.0 
Indira_Varma/uWZRSkqJ--g_0000019 249.2 256.4 
Indira_Varma/uWZRSkqJ--g_0000020 258.4 266.2 
Indira_Varma/uWZRSkqJ--g_0000021 268.3 276.4 
Indira_Varma/uWZRSkqJ--g_0000022 278.4 286.5 
Indira_Varma/uWZRSkqJ--g_0000023 288.5 313.7 
Indira_Varma/uWZRSkqJ--g_0000024 315.8 325.0 
Indira_Varma/uWZRSkqJ--g_0000025 327.0 342.4 
Indira_Varma/uWZRSkqJ--g_0000026 343.1 348.2 
Indira_Varma/uWZRSkqJ--g_0000027 350.3 354.8 
Indira_Varma/uWZRSkqJ--g_0000028 356.8 365.8 
Indira_Varma/uWZRSkqJ--g_0000029 366.7 379.0 
