POI: 			Ellen_Burstyn 
Youtube ID: 	I99R40TUF1s 
Video length: 	425.5 sec 
Set (V): 		test 
 
Ellen_Burstyn/I99R40TUF1s_0000001 44.3 48.9 
Ellen_Burstyn/I99R40TUF1s_0000002 49.1 58.7 
Ellen_Burstyn/I99R40TUF1s_0000003 62.3 66.7 
Ellen_Burstyn/I99R40TUF1s_0000004 98.0 106.2 
Ellen_Burstyn/I99R40TUF1s_0000005 107.5 111.5 
Ellen_Burstyn/I99R40TUF1s_0000006 115.5 121.0 
Ellen_Burstyn/I99R40TUF1s_0000007 122.0 130.8 
Ellen_Burstyn/I99R40TUF1s_0000008 144.3 150.2 
Ellen_Burstyn/I99R40TUF1s_0000009 153.3 163.6 
Ellen_Burstyn/I99R40TUF1s_0000010 203.8 207.8 
Ellen_Burstyn/I99R40TUF1s_0000011 210.4 214.9 
Ellen_Burstyn/I99R40TUF1s_0000012 234.8 240.1 
Ellen_Burstyn/I99R40TUF1s_0000013 241.5 260.4 
Ellen_Burstyn/I99R40TUF1s_0000014 278.4 284.8 
Ellen_Burstyn/I99R40TUF1s_0000015 311.6 315.8 
Ellen_Burstyn/I99R40TUF1s_0000016 317.2 321.2 
Ellen_Burstyn/I99R40TUF1s_0000017 327.3 332.7 
Ellen_Burstyn/I99R40TUF1s_0000018 354.6 365.1 
Ellen_Burstyn/I99R40TUF1s_0000019 366.4 370.8 
Ellen_Burstyn/I99R40TUF1s_0000020 404.2 418.2 
