POI: 			Greer_Garson 
Youtube ID: 	J5FZ35Ja3hQ 
Video length: 	382.4 sec 
Set (V): 		dev 
 
Greer_Garson/J5FZ35Ja3hQ_0000001 00.7 10.7 
Greer_Garson/J5FZ35Ja3hQ_0000002 17.0 24.4 
Greer_Garson/J5FZ35Ja3hQ_0000003 26.1 30.5 
Greer_Garson/J5FZ35Ja3hQ_0000004 30.6 34.6 
Greer_Garson/J5FZ35Ja3hQ_0000005 68.6 79.1 
Greer_Garson/J5FZ35Ja3hQ_0000006 79.8 97.4 
Greer_Garson/J5FZ35Ja3hQ_0000007 113.4 122.6 
Greer_Garson/J5FZ35Ja3hQ_0000008 123.7 128.2 
Greer_Garson/J5FZ35Ja3hQ_0000009 129.3 151.6 
Greer_Garson/J5FZ35Ja3hQ_0000010 205.3 211.4 
Greer_Garson/J5FZ35Ja3hQ_0000011 216.9 228.1 
Greer_Garson/J5FZ35Ja3hQ_0000012 229.1 236.1 
Greer_Garson/J5FZ35Ja3hQ_0000013 253.4 268.4 
Greer_Garson/J5FZ35Ja3hQ_0000014 298.3 331.6 
Greer_Garson/J5FZ35Ja3hQ_0000015 339.1 350.6 
Greer_Garson/J5FZ35Ja3hQ_0000016 364.6 372.4 
Greer_Garson/J5FZ35Ja3hQ_0000017 374.3 380.4 
