POI: 			Greer_Garson 
Youtube ID: 	KIy0AGQSAJc 
Video length: 	622.1 sec 
Set (V): 		dev 
 
Greer_Garson/KIy0AGQSAJc_0000001 125.7 133.7 
Greer_Garson/KIy0AGQSAJc_0000002 152.2 161.2 
Greer_Garson/KIy0AGQSAJc_0000003 237.0 245.1 
Greer_Garson/KIy0AGQSAJc_0000004 246.0 256.9 
Greer_Garson/KIy0AGQSAJc_0000005 265.1 272.2 
Greer_Garson/KIy0AGQSAJc_0000006 280.6 286.2 
Greer_Garson/KIy0AGQSAJc_0000007 286.3 297.1 
Greer_Garson/KIy0AGQSAJc_0000008 299.4 303.5 
Greer_Garson/KIy0AGQSAJc_0000009 335.0 343.9 
Greer_Garson/KIy0AGQSAJc_0000010 364.3 368.4 
Greer_Garson/KIy0AGQSAJc_0000011 414.9 420.5 
Greer_Garson/KIy0AGQSAJc_0000012 421.9 426.2 
Greer_Garson/KIy0AGQSAJc_0000013 427.3 432.2 
Greer_Garson/KIy0AGQSAJc_0000014 434.5 440.2 
Greer_Garson/KIy0AGQSAJc_0000015 445.2 452.3 
Greer_Garson/KIy0AGQSAJc_0000016 462.4 473.4 
Greer_Garson/KIy0AGQSAJc_0000017 519.1 524.2 
Greer_Garson/KIy0AGQSAJc_0000018 540.4 550.8 
Greer_Garson/KIy0AGQSAJc_0000019 555.7 561.8 
Greer_Garson/KIy0AGQSAJc_0000020 579.8 589.6 
