POI: 			Sally_Hawkins 
Youtube ID: 	kXRMAJ0T5w4 
Video length: 	1841.8 sec 
Set (V): 		dev 
 
Sally_Hawkins/kXRMAJ0T5w4_0000001 300.1 305.2 
Sally_Hawkins/kXRMAJ0T5w4_0000002 329.4 339.4 
Sally_Hawkins/kXRMAJ0T5w4_0000003 341.6 348.5 
Sally_Hawkins/kXRMAJ0T5w4_0000004 349.1 357.8 
Sally_Hawkins/kXRMAJ0T5w4_0000005 440.1 445.7 
Sally_Hawkins/kXRMAJ0T5w4_0000006 446.5 454.2 
Sally_Hawkins/kXRMAJ0T5w4_0000007 508.5 513.7 
Sally_Hawkins/kXRMAJ0T5w4_0000008 628.5 633.8 
Sally_Hawkins/kXRMAJ0T5w4_0000009 677.3 685.6 
Sally_Hawkins/kXRMAJ0T5w4_0000010 711.4 716.2 
Sally_Hawkins/kXRMAJ0T5w4_0000011 720.4 730.2 
Sally_Hawkins/kXRMAJ0T5w4_0000012 1045.0 1052.6 
Sally_Hawkins/kXRMAJ0T5w4_0000013 1062.1 1067.6 
Sally_Hawkins/kXRMAJ0T5w4_0000014 1175.4 1180.2 
Sally_Hawkins/kXRMAJ0T5w4_0000015 1531.2 1536.0 
Sally_Hawkins/kXRMAJ0T5w4_0000016 1677.6 1683.5 
